onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
7765.261977	1.2168527	1	1	1	3	5	33	1	1
7766.487123	1.1925739	1	2	1	3	5	33	1	2
7767.687955	1.1920729	1	3	1	3	5	33	1	3
7768.887879	1.1921046	1	4	1	3	5	33	1	4
7770.090144	1.1989381	1	5	1	3	5	33	1	5
7771.29698	1.1917443	1	6	1	3	5	33	1	6
7772.497029	1.1921247	1	7	1	3	5	33	1	7
7773.69745	1.1919424	1	8	1	3	5	33	1	8
7774.897711	1.1919747	1	9	1	3	5	33	1	9
7776.098026	1.1922075	1	10	1	3	5	33	1	10
7777.298358	1.1919862	1	11	1	3	5	33	1	11
7778.498744	1.1919153	1	12	1	3	5	33	1	12
7779.698989	1.1920471	1	13	1	3	5	33	1	13
7780.899758	1.1915877	1	14	1	3	5	33	1	14
7782.099682	1.1923046	1	15	1	3	5	33	1	15
7783.300017	1.1919722	1	16	1	3	5	33	1	16
7784.517683	1.1917054	1	17	1	1	4	1	2	1
7785.717344	1.1920339	1	18	1	1	4	17	2	2
7786.917688	1.1919481	1	19	1	1	4	2	2	3
7788.117998	1.1919943	1	20	1	1	4	18	2	4
7789.318895	1.1917939	1	21	1	1	4	3	2	5
7790.518909	1.1921989	1	22	1	1	4	19	2	6
7791.71939	1.1916406	1	23	1	1	4	4	2	7
7792.919292	1.1920292	1	24	1	1	4	20	2	8
7794.119655	1.1919872	1	25	1	1	4	5	2	9
7795.319964	1.1919879	1	26	1	1	4	21	2	10
7796.520279	1.1922092	1	27	1	1	4	6	2	11
7797.720594	1.1921213	1	28	1	1	4	22	2	12
7798.920942	1.192048	1	29	1	1	4	7	2	13
7800.121281	1.1919644	1	30	1	1	4	23	2	14
7801.321646	1.1919684	1	31	1	1	4	8	2	15
7802.522003	1.1919115	1	32	1	1	4	24	2	16
7803.722246	1.1920259	1	33	1	1	4	9	2	17
7804.922689	1.1919618	1	34	1	1	4	25	2	18
7806.123007	1.1921202	1	35	1	1	4	10	2	19
7807.323434	1.19233	1	36	1	1	4	26	2	20
7808.52416	1.1914524	1	37	1	1	4	11	2	21
7809.72393	1.192006	1	38	1	1	4	27	2	22
7810.924252	1.1920835	1	39	1	1	4	12	2	23
7812.12459	1.1923679	1	40	1	1	4	28	2	24
7813.325051	1.1918314	1	41	1	1	4	13	2	25
7814.525212	1.1920365	1	42	1	1	4	29	2	26
7815.725699	1.1919671	1	43	1	1	4	14	2	27
7816.925898	1.192006	1	44	1	1	4	30	2	28
7818.126239	1.1919865	1	45	1	1	4	15	2	29
7819.32657	1.1920043	1	46	1	1	4	31	2	30
7820.526895	1.1923543	1	47	1	1	4	16	2	31
7821.727571	1.1916719	1	48	1	1	4	32	2	32
7822.935896	1.1919888	1	49	1	3	5	33	3	1
7824.136309	1.191868	1	50	1	3	5	33	3	2
7825.336508	1.1920068	1	51	1	3	5	33	3	3
7826.53689	1.1919863	1	52	1	3	5	33	3	4
7827.737201	1.192311	1	53	1	3	5	33	3	5
7828.937576	1.191968	1	54	1	3	5	33	3	6
