onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
5041.495834	1.215807	1	1	1	3	5	33	1	1
5042.719947	1.1920225	1	2	1	3	5	33	1	2
5043.920554	1.1922423	1	3	1	3	5	33	1	3
5045.12111	1.1919708	1	4	1	3	5	33	1	4
5046.321541	1.1919457	1	5	1	3	5	33	1	5
5047.52132	1.1918766	1	6	1	3	5	33	1	6
5048.721513	1.1920593	1	7	1	3	5	33	1	7
5049.921873	1.1919157	1	8	1	3	5	33	1	8
5051.12212	1.1919756	1	9	1	3	5	33	1	9
5052.322448	1.1920152	1	10	1	3	5	33	1	10
5053.522838	1.1923312	1	11	1	3	5	33	1	11
5054.723118	1.1920493	1	12	1	3	5	33	1	12
5055.923499	1.1919414	1	13	1	3	5	33	1	13
5057.123748	1.1920113	1	14	1	3	5	33	1	14
5058.324535	1.1915408	1	15	1	3	5	33	1	15
5059.524408	1.1922202	1	16	1	3	5	33	1	16
5060.742047	1.19135	1	17	1	2	3	1	2	1
5061.941786	1.1919193	1	18	1	2	3	17	2	2
5063.142055	1.1924395	1	19	1	2	3	2	2	3
5064.34237	1.1919529	1	20	1	2	3	18	2	4
5065.542673	1.1919788	1	21	1	2	3	3	2	5
5066.743008	1.1919556	1	22	1	2	3	19	2	6
5067.943309	1.1920551	1	23	1	2	3	4	2	7
5069.143639	1.1920142	1	24	1	2	3	20	2	8
5070.343978	1.1924806	1	25	1	2	3	5	2	9
5071.544409	1.1918908	1	26	1	2	3	21	2	10
5072.745053	1.1915777	1	27	1	2	3	6	2	11
5073.944933	1.1920034	1	28	1	2	3	22	2	12
5075.145253	1.1920744	1	29	1	2	3	7	2	13
5076.34561	1.1921918	1	30	1	2	3	23	2	14
5077.546521	1.1915376	1	31	1	2	3	8	2	15
5078.746356	1.1919781	1	32	1	2	3	24	2	16
5079.94664	1.1920951	1	33	1	2	3	9	2	17
5081.146916	1.1924123	1	34	1	2	3	25	2	18
5082.347266	1.1923388	1	35	1	2	3	10	2	19
5083.547598	1.191919	1	36	1	2	3	26	2	20
5084.747868	1.1919968	1	37	1	2	3	11	2	21
5085.948206	1.1920086	1	38	1	2	3	27	2	22
5087.148531	1.1920014	1	39	1	2	3	12	2	23
5088.34884	1.1920248	1	40	1	2	3	28	2	24
5089.549234	1.191938	1	41	1	2	3	13	2	25
5090.749902	1.1915885	1	42	1	2	3	29	2	26
5091.950159	1.1916735	1	43	1	2	3	14	2	27
5093.150151	1.1920302	1	44	1	2	3	30	2	28
5094.350483	1.1920458	1	45	1	2	3	15	2	29
5095.550953	1.1919234	1	46	1	2	3	31	2	30
5096.751478	1.19165	1	47	1	2	3	16	2	31
5097.951481	1.1920856	1	48	1	2	3	32	2	32
5099.160409	1.2004098	1	49	1	3	5	33	3	1
5100.369157	1.2167348	1	50	1	3	5	33	3	2
5101.594224	1.1918894	1	51	1	3	5	33	3	3
5102.794811	1.1920233	1	52	1	3	5	33	3	4
5103.994771	1.1919474	1	53	1	3	5	33	3	5
5105.19512	1.1923255	1	54	1	3	5	33	3	6
5106.395484	1.1920701	1	55	1	3	5	33	3	7
5107.595843	1.1921662	1	56	1	3	5	33	3	8
5108.796385	1.1916669	1	57	1	3	5	33	3	9
5109.996434	1.1920201	1	58	1	3	5	33	3	10
5111.196738	1.1919555	1	59	1	3	5	33	3	11
5112.397105	1.1918936	1	60	1	3	5	33	3	12
5113.597331	1.192001	1	61	1	3	5	33	3	13
5114.797822	1.1918565	1	62	1	3	5	33	3	14
5115.998005	1.1921189	1	63	1	3	5	33	3	15
5117.198447	1.1918459	1	64	1	3	5	33	3	16
5118.39897	1.1916487	1	65	1	2	2	1	4	1
5119.598951	1.1919832	1	66	1	2	2	17	4	2
5120.799257	1.1924075	1	67	1	2	2	2	4	3
5121.999605	1.1919715	1	68	1	2	2	18	4	4
5123.19992	1.1924578	1	69	1	2	2	3	4	5
5124.400241	1.1919784	1	70	1	2	2	19	4	6
5125.600879	1.1920474	1	71	1	2	2	4	4	7
5126.80091	1.1919704	1	72	1	2	2	20	4	8
5128.001195	1.1919992	1	73	1	2	2	5	4	9
5129.201518	1.1920244	1	74	1	2	2	21	4	10
5130.402048	1.1918278	1	75	1	2	2	6	4	11
5131.602212	1.1919984	1	76	1	2	2	22	4	12
5132.802492	1.1920129	1	77	1	2	2	7	4	13
5134.002848	1.1919929	1	78	1	2	2	23	4	14
5135.203178	1.1920043	1	79	1	2	2	8	4	15
5136.403512	1.1919779	1	80	1	2	2	24	4	16
5137.603832	1.191976	1	81	1	2	2	9	4	17
5138.804619	1.1915139	1	82	1	2	2	25	4	18
5140.004466	1.1923519	1	83	1	2	2	10	4	19
5141.20478	1.1919996	1	84	1	2	2	26	4	20
5142.405132	1.1919516	1	85	1	2	2	11	4	21
5143.605414	1.1920193	1	86	1	2	2	27	4	22
5144.805756	1.1919889	1	87	1	2	2	12	4	23
5146.006077	1.1920046	1	88	1	2	2	28	4	24
5147.206427	1.1924296	1	89	1	2	2	13	4	25
5148.407082	1.1916721	1	90	1	2	2	29	4	26
5149.607093	1.1919723	1	91	1	2	2	14	4	27
5150.807413	1.1920496	1	92	1	2	2	30	4	28
5152.00773	1.192355	1	93	1	2	2	15	4	29
5153.208494	1.1919953	1	94	1	2	2	31	4	30
5154.408787	1.1915829	1	95	1	2	2	16	4	31
5155.60873	1.1924199	1	96	1	2	2	32	4	32
5156.826354	1.1913344	1	97	1	3	5	33	5	1
5158.026313	1.1920108	1	98	1	3	5	33	5	2
