onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
8823.011877	1.2007048	4	1	1	3	5	33	1	1
8824.220905	1.1914572	4	2	1	3	5	33	1	2
8825.420655	1.1921065	4	3	1	3	5	33	1	3
8826.621	1.1920056	4	4	1	3	5	33	1	4
8827.821842	1.192055	4	5	1	3	5	33	1	5
8829.021721	1.191901	4	6	1	3	5	33	1	6
8830.222173	1.191762	4	7	1	3	5	33	1	7
8831.422311	1.1919016	4	8	1	3	5	33	1	8
8832.622679	1.191901	4	9	1	3	5	33	1	9
8833.822898	1.1924497	4	10	1	3	5	33	1	10
8835.023247	1.1919777	4	11	1	3	5	33	1	11
8836.223636	1.1923942	4	12	1	3	5	33	1	12
8837.423921	1.1919837	4	13	1	3	5	33	1	13
8838.624223	1.1921137	4	14	1	3	5	33	1	14
8839.824557	1.1919991	4	15	1	3	5	33	1	15
8841.024862	1.1922063	4	16	1	3	5	33	1	16
8842.242369	1.1919724	4	17	1	2	4	1	2	1
8843.442237	1.1919746	4	18	1	2	4	17	2	2
8844.642562	1.1919759	4	19	1	2	4	2	2	3
8845.842953	1.1919338	4	20	1	2	4	18	2	4
8847.043209	1.1924019	4	21	1	2	4	3	2	5
8848.243573	1.1919513	4	22	1	2	4	19	2	6
8849.443929	1.1919932	4	23	1	2	4	4	2	7
8850.64442	1.1917936	4	24	1	2	4	20	2	8
8851.844534	1.1924742	4	25	1	2	4	5	2	9
8853.045308	1.191633	4	26	1	2	4	21	2	10
8854.245602	1.1915916	4	27	1	2	4	6	2	11
8855.44558	1.1919419	4	28	1	2	4	22	2	12
8856.645832	1.1920306	4	29	1	2	4	7	2	13
8857.846268	1.1919685	4	30	1	2	4	23	2	14
8859.046581	1.1920652	4	31	1	2	4	8	2	15
8860.24724	1.1915974	4	32	1	2	4	24	2	16
8861.447546	1.1919361	4	33	1	2	4	9	2	17
8862.647573	1.1919318	4	34	1	2	4	25	2	18
8863.847895	1.1924374	4	35	1	2	4	10	2	19
8865.048196	1.1920316	4	36	1	2	4	26	2	20
8866.248509	1.1919684	4	37	1	2	4	11	2	21
8867.448849	1.1920058	4	38	1	2	4	27	2	22
8868.649191	1.1921019	4	39	1	2	4	12	2	23
8869.849506	1.1919962	4	40	1	2	4	28	2	24
8871.049851	1.1919836	4	41	1	2	4	13	2	25
8872.250167	1.1920055	4	42	1	2	4	29	2	26
8873.450948	1.1916346	4	43	1	2	4	14	2	27
8874.651232	1.1915948	4	44	1	2	4	30	2	28
8875.851549	1.1916181	4	45	1	2	4	15	2	29
8877.051876	1.1917779	4	46	1	2	4	31	2	30
8878.252281	1.1915529	4	47	1	2	4	16	2	31
8879.452255	1.1919072	4	48	1	2	4	32	2	32
8880.652724	1.1921932	4	49	1	3	5	33	3	1
8881.852822	1.1920003	4	50	1	3	5	33	3	2
8883.053159	1.192145	4	51	1	3	5	33	3	3
8884.253581	1.1918694	4	52	1	3	5	33	3	4
8885.453813	1.1923773	4	53	1	3	5	33	3	5
8886.65452	1.1918234	4	54	1	3	5	33	3	6
8887.85467	1.1922114	4	55	1	3	5	33	3	7
8889.054973	1.1922532	4	56	1	3	5	33	3	8
