onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
8450.300795	1.2001244	3	1	1	3	5	33	1	1
8451.509626	1.1917272	3	2	1	3	5	33	1	2
8452.710028	1.1915031	3	3	1	3	5	33	1	3
8453.909847	1.1921197	3	4	1	3	5	33	1	4
8455.112071	1.1990203	3	5	1	3	5	33	1	5
8456.318917	1.1919298	3	6	1	3	5	33	1	6
8457.51919	1.1920545	3	7	1	3	5	33	1	7
8458.719533	1.1919979	3	8	1	3	5	33	1	8
8459.919838	1.191915	3	9	1	3	5	33	1	9
8461.120087	1.1919999	3	10	1	3	5	33	1	10
8462.320449	1.1921723	3	11	1	3	5	33	1	11
8463.520852	1.1919258	3	12	1	3	5	33	1	12
8464.721178	1.1919169	3	13	1	3	5	33	1	13
8465.921439	1.1920014	3	14	1	3	5	33	1	14
8467.121764	1.1920173	3	15	1	3	5	33	1	15
8468.322118	1.1921788	3	16	1	3	5	33	1	16
8469.54791	1.1917605	3	17	1	1	4	1	2	1
8470.747763	1.1924729	3	18	1	1	4	17	2	2
8471.948102	1.192007	3	19	1	1	4	2	2	3
8473.148428	1.1919875	3	20	1	1	4	18	2	4
8474.348817	1.191935	3	21	1	1	4	3	2	5
8475.549102	1.1924652	3	22	1	1	4	19	2	6
8476.749433	1.1920451	3	23	1	1	4	4	2	7
8477.949742	1.1920382	3	24	1	1	4	20	2	8
8479.150082	1.1920016	3	25	1	1	4	5	2	9
8480.35038	1.1919946	3	26	1	1	4	21	2	10
8481.550697	1.1920185	3	27	1	1	4	6	2	11
8482.751042	1.1920051	3	28	1	1	4	22	2	12
8483.951401	1.1919728	3	29	1	1	4	7	2	13
8485.151759	1.1919288	3	30	1	1	4	23	2	14
8486.35203	1.1923852	3	31	1	1	4	8	2	15
8487.552376	1.192018	3	32	1	1	4	24	2	16
8488.752726	1.1919698	3	33	1	1	4	9	2	17
8489.953095	1.1919294	3	34	1	1	4	25	2	18
8491.153373	1.1920349	3	35	1	1	4	10	2	19
8492.353764	1.1919475	3	36	1	1	4	26	2	20
8493.554095	1.1919422	3	37	1	1	4	11	2	21
8494.754356	1.1919975	3	38	1	1	4	27	2	22
8495.954702	1.1919792	3	39	1	1	4	12	2	23
8497.155031	1.1919825	3	40	1	1	4	28	2	24
8498.355426	1.1919149	3	41	1	1	4	13	2	25
8499.555679	1.1923669	3	42	1	1	4	29	2	26
8500.75604	1.1920182	3	43	1	1	4	14	2	27
8501.956389	1.1919658	3	44	1	1	4	30	2	28
8503.156686	1.1919967	3	45	1	1	4	15	2	29
8504.357004	1.1920117	3	46	1	1	4	31	2	30
8505.557329	1.1920133	3	47	1	1	4	16	2	31
8506.757681	1.1920067	3	48	1	1	4	32	2	32
8507.958232	1.1917477	3	49	1	3	5	33	3	1
8509.158802	1.191577	3	50	1	3	5	33	3	2
8510.358644	1.1922021	3	51	1	3	5	33	3	3
8511.558998	1.1919892	3	52	1	3	5	33	3	4
8512.759308	1.1920101	3	53	1	3	5	33	3	5
8513.959654	1.1919841	3	54	1	3	5	33	3	6
8515.159972	1.1919944	3	55	1	3	5	33	3	7
8516.360372	1.1919481	3	56	1	3	5	33	3	8
8517.560639	1.1920482	3	57	1	3	5	33	3	9
8518.760999	1.1920407	3	58	1	3	5	33	3	10
8519.961314	1.1920523	3	59	1	3	5	33	3	11
8521.162023	1.1916052	3	60	1	3	5	33	3	12
8522.361962	1.1919949	3	61	1	3	5	33	3	13
8523.562291	1.1920196	3	62	1	3	5	33	3	14
8524.762625	1.192012	3	63	1	3	5	33	3	15
8525.962979	1.1924547	3	64	1	3	5	33	3	16
8527.171638	1.1919856	3	65	1	1	3	1	4	1
8528.372313	1.1916453	3	66	1	1	3	17	4	2
8529.57229	1.1920594	3	67	1	1	3	2	4	3
8530.772631	1.191973	3	68	1	1	3	18	4	4
8531.972998	1.1919291	3	69	1	1	3	3	4	5
8533.173252	1.1920034	3	70	1	1	3	19	4	6
8534.374026	1.1916224	3	71	1	1	3	4	4	7
8535.573926	1.1919934	3	72	1	1	3	20	4	8
8536.774274	1.1919732	3	73	1	1	3	5	4	9
8537.974594	1.1919954	3	74	1	1	3	21	4	10
8539.17491	1.1920664	3	75	1	1	3	6	4	11
8540.375253	1.1920139	3	76	1	1	3	22	4	12
8541.575591	1.1920132	3	77	1	1	3	7	4	13
8542.775922	1.1920009	3	78	1	1	3	23	4	14
8543.976254	1.1920136	3	79	1	1	3	8	4	15
8545.176654	1.1919418	3	80	1	1	3	24	4	16
8546.376939	1.1919883	3	81	1	1	3	9	4	17
8547.577244	1.1923175	3	82	1	1	3	25	4	18
8548.777578	1.1922016	3	83	1	1	3	10	4	19
8549.977927	1.1919799	3	84	1	1	3	26	4	20
8551.178267	1.1919698	3	85	1	1	3	11	4	21
8552.378638	1.1919554	3	86	1	1	3	27	4	22
8553.578919	1.1919836	3	87	1	1	3	12	4	23
8554.77969	1.1919335	3	88	1	1	3	28	4	24
8555.979628	1.191937	3	89	1	1	3	13	4	25
8557.179895	1.1920061	3	90	1	1	3	29	4	26
8558.380225	1.1920185	3	91	1	1	3	14	4	27
8559.580562	1.1920207	3	92	1	1	3	30	4	28
8560.780912	1.1919742	3	93	1	1	3	15	4	29
8561.981297	1.1919348	3	94	1	1	3	31	4	30
8563.181557	1.1919936	3	95	1	1	3	16	4	31
8564.381955	1.1919501	3	96	1	1	3	32	4	32
8565.582219	1.1919934	3	97	1	3	5	33	5	1
8566.782547	1.1919934	3	98	1	3	5	33	5	2
8567.983005	1.1918569	3	99	1	3	5	33	5	3
8569.183195	1.1920031	3	100	1	3	5	33	5	4
8570.383529	1.1920365	3	101	1	3	5	33	5	5
8571.584237	1.1916921	3	102	1	3	5	33	5	6
8572.784203	1.1919842	3	103	1	3	5	33	5	7
8573.984537	1.1919854	3	104	1	3	5	33	5	8
8575.184853	1.1920048	3	105	1	3	5	33	5	9
8576.385201	1.1919874	3	106	1	3	5	33	5	10
8577.585517	1.1919975	3	107	1	3	5	33	5	11
8578.786057	1.1920103	3	108	1	3	5	33	5	12
8579.986187	1.1920043	3	109	1	3	5	33	5	13
8581.186546	1.1919467	3	110	1	3	5	33	5	14
8582.386942	1.191903	3	111	1	3	5	33	5	15
8583.587229	1.1919282	3	112	1	3	5	33	5	16
8584.787494	1.1920039	3	113	1	1	1	1	6	1
8585.987819	1.1920024	3	114	1	1	1	17	6	2
8587.188153	1.1919997	3	115	1	1	1	2	6	3
8588.388478	1.1919928	3	116	1	1	1	18	6	4
8589.588821	1.1919936	3	117	1	1	1	3	6	5
8590.789137	1.1920525	3	118	1	1	1	19	6	6
8591.989507	1.1920197	3	119	1	1	1	4	6	7
8593.189843	1.1920394	3	120	1	1	1	20	6	8
8594.390152	1.191989	3	121	1	1	1	5	6	9
8595.590552	1.1919412	3	122	1	1	1	21	6	10
8596.790813	1.1920301	3	123	1	1	1	6	6	11
8597.991145	1.1925273	3	124	1	1	1	22	6	12
8599.191482	1.1920013	3	125	1	1	1	7	6	13
8600.39218	1.1916377	3	126	1	1	1	23	6	14
8601.592137	1.1920208	3	127	1	1	1	8	6	15
8602.79247	1.1920078	3	128	1	1	1	24	6	16
8603.99282	1.1920019	3	129	1	1	1	9	6	17
8605.193135	1.1920071	3	130	1	1	1	25	6	18
8606.393463	1.1920593	3	131	1	1	1	10	6	19
8607.59383	1.1920115	3	132	1	1	1	26	6	20
8608.794233	1.1919805	3	133	1	1	1	11	6	21
8609.994527	1.1919829	3	134	1	1	1	27	6	22
8611.194836	1.1920024	3	135	1	1	1	12	6	23
8612.395149	1.1919926	3	136	1	1	1	28	6	24
8613.595533	1.1919533	3	137	1	1	1	13	6	25
8614.79581	1.1925458	3	138	1	1	1	29	6	26
8615.996183	1.1919806	3	139	1	1	1	14	6	27
8617.196553	1.1919581	3	140	1	1	1	30	6	28
8618.396837	1.1919823	3	141	1	1	1	15	6	29
8619.597132	1.1920137	3	142	1	1	1	31	6	30
8620.79748	1.1923955	3	143	1	1	1	16	6	31
8621.997912	1.192092	3	144	1	1	1	32	6	32
8623.206847	1.1916876	3	145	1	3	5	33	7	1
8624.406772	1.192097	3	146	1	3	5	33	7	2
8625.607435	1.1917197	3	147	1	3	5	33	7	3
8626.807599	1.1921558	3	148	1	3	5	33	7	4
8628.00781	1.1923461	3	149	1	3	5	33	7	5
8629.208519	1.1919014	3	150	1	3	5	33	7	6
8630.408799	1.1919529	3	151	1	3	5	33	7	7
8631.609099	1.1921179	3	152	1	3	5	33	7	8
8632.809529	1.1918145	3	153	1	3	5	33	7	9
8634.009425	1.1920765	3	154	1	3	5	33	7	10
8635.209898	1.192114	3	155	1	3	5	33	7	11
8636.410169	1.1919448	3	156	1	3	5	33	7	12
8637.610432	1.1924334	3	157	1	3	5	33	7	13
8638.810903	1.1918661	3	158	1	3	5	33	7	14
8640.011095	1.1924042	3	159	1	3	5	33	7	15
8641.211769	1.1916733	3	160	1	3	5	33	7	16
8642.411802	1.1919666	3	161	1	1	2	1	8	1
8643.612106	1.1919828	3	162	1	1	2	17	8	2
8644.812422	1.1925037	3	163	1	1	2	2	8	3
8646.013341	1.1914241	3	164	1	1	2	18	8	4
8647.213101	1.1920065	3	165	1	1	2	3	8	5
8648.413726	1.191719	3	166	1	1	2	19	8	6
8649.613753	1.1921203	3	167	1	1	2	4	8	7
8650.814111	1.1921727	3	168	1	1	2	20	8	8
8652.014412	1.192011	3	169	1	1	2	5	8	9
8653.214745	1.1920062	3	170	1	1	2	21	8	10
8654.415095	1.1919805	3	171	1	1	2	6	8	11
8655.615394	1.1920288	3	172	1	1	2	22	8	12
8656.815782	1.1919752	3	173	1	1	2	7	8	13
8658.016096	1.1919604	3	174	1	1	2	23	8	14
8659.216409	1.1919826	3	175	1	1	2	8	8	15
8660.416736	1.1920147	3	176	1	1	2	24	8	16
8661.617085	1.1919553	3	177	1	1	2	9	8	17
8662.817372	1.1920454	3	178	1	1	2	25	8	18
8664.017741	1.1919598	3	179	1	1	2	10	8	19
8665.218051	1.1920085	3	180	1	1	2	26	8	20
8666.418408	1.1919849	3	181	1	1	2	11	8	21
8667.618726	1.1919971	3	182	1	1	2	27	8	22
8668.819073	1.1920966	3	183	1	1	2	12	8	23
8670.019486	1.1919123	3	184	1	1	2	28	8	24
8671.219699	1.1920367	3	185	1	1	2	13	8	25
8672.420052	1.191975	3	186	1	1	2	29	8	26
8673.620831	1.1915521	3	187	1	1	2	14	8	27
8674.820907	1.1918193	3	188	1	1	2	30	8	28
8676.021077	1.191986	3	189	1	1	2	15	8	29
8677.221972	1.1919264	3	190	1	1	2	31	8	30
8678.421742	1.1919816	3	191	1	1	2	16	8	31
8679.622057	1.1920647	3	192	1	1	2	32	8	32
8680.830789	1.1919298	3	193	1	3	5	33	9	1
8682.031419	1.1916816	3	194	1	3	5	33	9	2
8683.231654	1.1916966	3	195	1	3	5	33	9	3
8684.431731	1.1924428	3	196	1	3	5	33	9	4
8685.632022	1.1920375	3	197	1	3	5	33	9	5
8686.832668	1.1916953	3	198	1	3	5	33	9	6
8688.032673	1.1920332	3	199	1	3	5	33	9	7
8689.232986	1.1925256	3	200	1	3	5	33	9	8
8690.433404	1.192013	3	201	1	3	5	33	9	9
8691.633694	1.1919873	3	202	1	3	5	33	9	10
8692.834012	1.1920264	3	203	1	3	5	33	9	11
8694.034324	1.1920224	3	204	1	3	5	33	9	12
8695.234686	1.1920021	3	205	1	3	5	33	9	13
8696.435024	1.1919968	3	206	1	3	5	33	9	14
8697.635849	1.1914604	3	207	1	3	5	33	9	15
8698.835657	1.1922101	3	208	1	3	5	33	9	16
