onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
1653.024463	1.1904855	2	1	1	3	5	33	1	1
1654.223199	1.190586	2	2	1	3	5	33	1	2
1655.422028	1.190508	2	3	1	3	5	33	1	3
1656.620784	1.190534	2	4	1	3	5	33	1	4
1657.820324	1.1904697	2	5	1	3	5	33	1	5
1659.018413	1.1904411	2	6	1	3	5	33	1	6
1660.217085	1.190519	2	7	1	3	5	33	1	7
1661.415931	1.1904563	2	8	1	3	5	33	1	8
1662.614689	1.1905824	2	9	1	3	5	33	1	9
1663.813431	1.1905281	2	10	1	3	5	33	1	10
1665.012206	1.1906185	2	11	1	3	5	33	1	11
1666.211092	1.1905656	2	12	1	3	5	33	1	12
1667.409929	1.1904698	2	13	1	3	5	33	1	13
1668.608657	1.1905923	2	14	1	3	5	33	1	14
1669.807561	1.1904806	2	15	1	3	5	33	1	15
1671.006286	1.190512	2	16	1	3	5	33	1	16
1672.222334	1.1898782	2	17	1	2	3	1	2	1
1673.420567	1.1903675	2	18	1	2	3	17	2	2
1674.619267	1.1905161	2	19	1	2	3	2	2	3
1675.818055	1.1905618	2	20	1	2	3	18	2	4
1677.016914	1.1904054	2	21	1	2	3	3	2	5
1678.215641	1.1904672	2	22	1	2	3	19	2	6
1679.414528	1.1904788	2	23	1	2	3	4	2	7
1680.61331	1.1904632	2	24	1	2	3	20	2	8
1681.812071	1.1904675	2	25	1	2	3	5	2	9
1683.010871	1.1904776	2	26	1	2	3	21	2	10
1684.209671	1.1904415	2	27	1	2	3	6	2	11
1685.408492	1.1904372	2	28	1	2	3	22	2	12
1686.607261	1.1904471	2	29	1	2	3	7	2	13
1687.805995	1.1905293	2	30	1	2	3	23	2	14
1689.004856	1.1904478	2	31	1	2	3	8	2	15
1690.203623	1.1905193	2	32	1	2	3	24	2	16
1691.402512	1.1903916	2	33	1	2	3	9	2	17
1692.601265	1.1904278	2	34	1	2	3	25	2	18
1693.800075	1.1904492	2	35	1	2	3	10	2	19
1694.998812	1.1905401	2	36	1	2	3	26	2	20
1696.197696	1.1905103	2	37	1	2	3	11	2	21
1697.396422	1.190464	2	38	1	2	3	27	2	22
1698.595224	1.1905836	2	39	1	2	3	12	2	23
1699.794107	1.1904083	2	40	1	2	3	28	2	24
1700.992805	1.1904998	2	41	1	2	3	13	2	25
1702.191599	1.1904873	2	42	1	2	3	29	2	26
1703.39043	1.1904195	2	43	1	2	3	14	2	27
1704.58919	1.1904906	2	44	1	2	3	30	2	28
1705.788074	1.1904369	2	45	1	2	3	15	2	29
1706.986823	1.1904523	2	46	1	2	3	31	2	30
1708.18557	1.1905475	2	47	1	2	3	16	2	31
1709.384423	1.1904637	2	48	1	2	3	32	2	32
1710.583194	1.1905402	2	49	1	3	5	33	3	1
1711.782011	1.1904976	2	50	1	3	5	33	3	2
1712.980742	1.1905265	2	51	1	3	5	33	3	3
1714.179552	1.1905608	2	52	1	3	5	33	3	4
1715.378345	1.1905774	2	53	1	3	5	33	3	5
