onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
5167.657931	1.1902703	2	1	1	3	5	33	1	1
5168.856326	1.1905076	2	2	1	3	5	33	1	2
5170.055044	1.1906769	2	3	1	3	5	33	1	3
5171.253903	1.1906799	2	4	1	3	5	33	1	4
5172.453822	1.1903402	2	5	1	3	5	33	1	5
5173.651573	1.1909603	2	6	1	3	5	33	1	6
5174.85018	1.1905053	2	7	1	3	5	33	1	7
5176.049039	1.1904741	2	8	1	3	5	33	1	8
5177.24776	1.1904586	2	9	1	3	5	33	1	9
5178.446526	1.1905418	2	10	1	3	5	33	1	10
5179.645261	1.1906124	2	11	1	3	5	33	1	11
5180.844133	1.1905711	2	12	1	3	5	33	1	12
5182.04294	1.1904658	2	13	1	3	5	33	1	13
5183.241654	1.1906376	2	14	1	3	5	33	1	14
5184.440541	1.1904584	2	15	1	3	5	33	1	15
5185.639258	1.1905575	2	16	1	3	5	33	1	16
5186.863837	1.1896422	2	17	1	2	1	1	2	1
5188.061801	1.1904477	2	18	1	2	1	17	2	2
5189.260606	1.1905473	2	19	1	2	1	2	2	3
5190.459412	1.1905352	2	20	1	2	1	18	2	4
5191.658212	1.1904639	2	21	1	2	1	3	2	5
5192.857026	1.1904079	2	22	1	2	1	19	2	6
5194.05579	1.1905238	2	23	1	2	1	4	2	7
5195.254583	1.1905109	2	24	1	2	1	20	2	8
5196.453367	1.1905101	2	25	1	2	1	5	2	9
5197.652302	1.1903491	2	26	1	2	1	21	2	10
5198.850981	1.190463	2	27	1	2	1	6	2	11
5200.049805	1.1903981	2	28	1	2	1	22	2	12
5201.248554	1.1905138	2	29	1	2	1	7	2	13
5202.447348	1.1904877	2	30	1	2	1	23	2	14
5203.646204	1.1904315	2	31	1	2	1	8	2	15
5204.844957	1.1905484	2	32	1	2	1	24	2	16
5206.043763	1.1904459	2	33	1	2	1	9	2	17
5207.242595	1.1904857	2	34	1	2	1	25	2	18
5208.441332	1.1905971	2	35	1	2	1	10	2	19
5209.640073	1.1906072	2	36	1	2	1	26	2	20
5210.839007	1.1905566	2	37	1	2	1	11	2	21
5212.037762	1.190445	2	38	1	2	1	27	2	22
5213.236538	1.1905216	2	39	1	2	1	12	2	23
5214.435343	1.1904522	2	40	1	2	1	28	2	24
5215.634127	1.190435	2	41	1	2	1	13	2	25
5216.832903	1.1906551	2	42	1	2	1	29	2	26
5218.031711	1.1905361	2	43	1	2	1	14	2	27
5219.23052	1.1905906	2	44	1	2	1	30	2	28
5220.429379	1.1903891	2	45	1	2	1	15	2	29
5221.628052	1.1905038	2	46	1	2	1	31	2	30
5222.826903	1.1905532	2	47	1	2	1	16	2	31
5224.025694	1.1905395	2	48	1	2	1	32	2	32
5225.224454	1.1905329	2	49	1	3	5	33	3	1
5226.42326	1.1905445	2	50	1	3	5	33	3	2
5227.622318	1.1902586	2	51	1	3	5	33	3	3
5228.820816	1.1906512	2	52	1	3	5	33	3	4
5230.019721	1.1904676	2	53	1	3	5	33	3	5
5231.218419	1.1906652	2	54	1	3	5	33	3	6
5232.417278	1.190472	2	55	1	3	5	33	3	7
5233.616078	1.1905662	2	56	1	3	5	33	3	8
5234.814878	1.1906386	2	57	1	3	5	33	3	9
5236.013618	1.1905517	2	58	1	3	5	33	3	10
5237.212412	1.1906324	2	59	1	3	5	33	3	11
5238.411221	1.1905981	2	60	1	3	5	33	3	12
5239.610031	1.1906184	2	61	1	3	5	33	3	13
5240.808883	1.1904667	2	62	1	3	5	33	3	14
5242.007609	1.1905523	2	63	1	3	5	33	3	15
5243.206386	1.1906388	2	64	1	3	5	33	3	16
5244.405273	1.1903598	2	65	1	2	2	1	4	1
5245.603949	1.1905934	2	66	1	2	2	17	4	2
5246.802819	1.1904975	2	67	1	2	2	2	4	3
5248.001629	1.1905004	2	68	1	2	2	18	4	4
5249.20037	1.1906012	2	69	1	2	2	3	4	5
5250.399244	1.1903906	2	70	1	2	2	19	4	6
