onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
6055.873718	1.190102	4	1	1	3	5	33	1	1
6057.072065	1.1905118	4	2	1	3	5	33	1	2
6058.270828	1.1905634	4	3	1	3	5	33	1	3
6059.469641	1.190558	4	4	1	3	5	33	1	4
6060.669413	1.1905081	4	5	1	3	5	33	1	5
6061.867375	1.1908388	4	6	1	3	5	33	1	6
6063.065855	1.1906467	4	7	1	3	5	33	1	7
6064.264763	1.1905324	4	8	1	3	5	33	1	8
6065.463455	1.1906272	4	9	1	3	5	33	1	9
6066.662293	1.1904943	4	10	1	3	5	33	1	10
6067.861008	1.1905692	4	11	1	3	5	33	1	11
6069.059829	1.1906037	4	12	1	3	5	33	1	12
6070.258615	1.1906489	4	13	1	3	5	33	1	13
6071.457491	1.1904904	4	14	1	3	5	33	1	14
6072.656238	1.1905155	4	15	1	3	5	33	1	15
6073.855016	1.1906066	4	16	1	3	5	33	1	16
6075.071227	1.1896708	4	17	1	2	1	1	2	1
6076.269258	1.1905462	4	18	1	2	1	17	2	2
6077.468089	1.1904251	4	19	1	2	1	2	2	3
6078.666838	1.1904848	4	20	1	2	1	18	2	4
6079.865685	1.1906719	4	21	1	2	1	3	2	5
6081.064674	1.190235	4	22	1	2	1	19	2	6
6082.26324	1.1906392	4	23	1	2	1	4	2	7
6083.462064	1.1904897	4	24	1	2	1	20	2	8
6084.660897	1.1903644	4	25	1	2	1	5	2	9
6085.859594	1.1905987	4	26	1	2	1	21	2	10
6087.058415	1.1905223	4	27	1	2	1	6	2	11
6088.257287	1.1904288	4	28	1	2	1	22	2	12
6089.45599	1.1904857	4	29	1	2	1	7	2	13
6090.654878	1.1903881	4	30	1	2	1	23	2	14
6091.853638	1.1904306	4	31	1	2	1	8	2	15
6093.052384	1.1905697	4	32	1	2	1	24	2	16
6094.251232	1.1905421	4	33	1	2	1	9	2	17
6095.450061	1.1904724	4	34	1	2	1	25	2	18
6096.648826	1.1903863	4	35	1	2	1	10	2	19
6097.847531	1.1905903	4	36	1	2	1	26	2	20
6099.046374	1.1905159	4	37	1	2	1	11	2	21
6100.245249	1.1904947	4	38	1	2	1	27	2	22
6101.444043	1.1904477	4	39	1	2	1	12	2	23
6102.642749	1.1905871	4	40	1	2	1	28	2	24
6103.841568	1.1906403	4	41	1	2	1	13	2	25
6105.040338	1.1905516	4	42	1	2	1	29	2	26
6106.239193	1.190534	4	43	1	2	1	14	2	27
6107.437915	1.1904958	4	44	1	2	1	30	2	28
6108.63672	1.1905428	4	45	1	2	1	15	2	29
6109.835535	1.1904877	4	46	1	2	1	31	2	30
6111.03432	1.1904851	4	47	1	2	1	16	2	31
6112.233169	1.1905646	4	48	1	2	1	32	2	32
6113.432002	1.190446	4	49	1	3	5	33	3	1
6114.630726	1.1905038	4	50	1	3	5	33	3	2
6115.82949	1.1905213	4	51	1	3	5	33	3	3
6117.028252	1.190614	4	52	1	3	5	33	3	4
6118.227102	1.190533	4	53	1	3	5	33	3	5
6119.425937	1.1905449	4	54	1	3	5	33	3	6
6120.624756	1.1905235	4	55	1	3	5	33	3	7
6121.823481	1.1905385	4	56	1	3	5	33	3	8
6123.022238	1.1906899	4	57	1	3	5	33	3	9
6124.221096	1.1905997	4	58	1	3	5	33	3	10
6125.419875	1.1905303	4	59	1	3	5	33	3	11
6126.618702	1.1905508	4	60	1	3	5	33	3	12
6127.817443	1.1905474	4	61	1	3	5	33	3	13
6129.016248	1.1905875	4	62	1	3	5	33	3	14
6130.215086	1.1905075	4	63	1	3	5	33	3	15
6131.413855	1.1906163	4	64	1	3	5	33	3	16
6132.612638	1.1904293	4	65	1	2	2	1	4	1
6133.811384	1.1905895	4	66	1	2	2	17	4	2
6135.010186	1.1905403	4	67	1	2	2	2	4	3
6136.209039	1.1905579	4	68	1	2	2	18	4	4
6137.407891	1.1904514	4	69	1	2	2	3	4	5
6138.606623	1.1904187	4	70	1	2	2	19	4	6
6139.805395	1.1905256	4	71	1	2	2	4	4	7
6141.004221	1.1904599	4	72	1	2	2	20	4	8
6142.202976	1.1905417	4	73	1	2	2	5	4	9
6143.401795	1.1904381	4	74	1	2	2	21	4	10
6144.600628	1.1904256	4	75	1	2	2	6	4	11
6145.799389	1.1905188	4	76	1	2	2	22	4	12
6146.998181	1.1904325	4	77	1	2	2	7	4	13
6148.19694	1.1905946	4	78	1	2	2	23	4	14
6149.395757	1.1904696	4	79	1	2	2	8	4	15
6150.594573	1.1904867	4	80	1	2	2	24	4	16
6151.793432	1.1904123	4	81	1	2	2	9	4	17
6152.992211	1.1904102	4	82	1	2	2	25	4	18
6154.191007	1.1904571	4	83	1	2	2	10	4	19
6155.389826	1.1904102	4	84	1	2	2	26	4	20
6156.588636	1.190391	4	85	1	2	2	11	4	21
6157.787279	1.190588	4	86	1	2	2	27	4	22
6158.986222	1.1903819	4	87	1	2	2	12	4	23
6160.184933	1.1905008	4	88	1	2	2	28	4	24
6161.383727	1.1905108	4	89	1	2	2	13	4	25
6162.582576	1.1905048	4	90	1	2	2	29	4	26
6163.78139	1.1904593	4	91	1	2	2	14	4	27
6164.980123	1.1905371	4	92	1	2	2	30	4	28
6166.178987	1.1904648	4	93	1	2	2	15	4	29
6167.377688	1.1905428	4	94	1	2	2	31	4	30
6168.576577	1.1904082	4	95	1	2	2	16	4	31
6169.775283	1.1904863	4	96	1	2	2	32	4	32
6170.974077	1.1905425	4	97	1	3	5	33	5	1
6172.172868	1.1905814	4	98	1	3	5	33	5	2
6173.371723	1.1906253	4	99	1	3	5	33	5	3
6174.570563	1.1904546	4	100	1	3	5	33	5	4
6175.769343	1.1905401	4	101	1	3	5	33	5	5
6176.968048	1.190543	4	102	1	3	5	33	5	6
6178.166844	1.1906566	4	103	1	3	5	33	5	7
6179.365796	1.1904041	4	104	1	3	5	33	5	8
6180.564434	1.1906131	4	105	1	3	5	33	5	9
6181.763248	1.1905965	4	106	1	3	5	33	5	10
6182.962126	1.190482	4	107	1	3	5	33	5	11
6184.160874	1.1904845	4	108	1	3	5	33	5	12
6185.359704	1.1904164	4	109	1	3	5	33	5	13
6186.55841	1.1906808	4	110	1	3	5	33	5	14
6187.75723	1.19062	4	111	1	3	5	33	5	15
6188.956181	1.1903914	4	112	1	3	5	33	5	16
6190.163129	1.1905183	4	113	1	2	3	1	6	1
6191.362196	1.1902467	4	114	1	2	3	17	6	2
6192.560712	1.1905052	4	115	1	2	3	2	6	3
6193.759592	1.1903599	4	116	1	2	3	18	6	4
6194.958271	1.1905193	4	117	1	2	3	3	6	5
6196.157189	1.1903711	4	118	1	2	3	19	6	6
6197.355893	1.1904735	4	119	1	2	3	4	6	7
6198.554687	1.1904867	4	120	1	2	3	20	6	8
6199.753566	1.1903942	4	121	1	2	3	5	6	9
6200.952232	1.1905479	4	122	1	2	3	21	6	10
6202.151095	1.1905636	4	123	1	2	3	6	6	11
6203.349917	1.1904522	4	124	1	2	3	22	6	12
6204.548677	1.1904665	4	125	1	2	3	7	6	13
6205.747464	1.190564	4	126	1	2	3	23	6	14
6206.946323	1.19039	4	127	1	2	3	8	6	15
6208.14504	1.1905911	4	128	1	2	3	24	6	16
6209.343922	1.1904656	4	129	1	2	3	9	6	17
6210.542739	1.1904406	4	130	1	2	3	25	6	18
6211.741506	1.1904166	4	131	1	2	3	10	6	19
6212.940264	1.1904274	4	132	1	2	3	26	6	20
6214.139029	1.1904973	4	133	1	2	3	11	6	21
