onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
5540.808013	1.1901158	3	1	1	3	5	33	1	1
5542.006323	1.1905757	3	2	1	3	5	33	1	2
5543.205079	1.1906765	3	3	1	3	5	33	1	3
5544.403955	1.1904718	3	4	1	3	5	33	1	4
5545.603683	1.1905228	3	5	1	3	5	33	1	5
5546.801623	1.1908206	3	6	1	3	5	33	1	6
5548.000158	1.1905752	3	7	1	3	5	33	1	7
5549.199049	1.1905072	3	8	1	3	5	33	1	8
5550.397795	1.1905233	3	9	1	3	5	33	1	9
5551.596503	1.1905431	3	10	1	3	5	33	1	10
5552.79528	1.1906241	3	11	1	3	5	33	1	11
5553.994162	1.1904843	3	12	1	3	5	33	1	12
5555.19289	1.1905929	3	13	1	3	5	33	1	13
5556.391772	1.190562	3	14	1	3	5	33	1	14
5557.590535	1.1905379	3	15	1	3	5	33	1	15
5558.789294	1.1905207	3	16	1	3	5	33	1	16
5560.005447	1.1898131	3	17	1	1	1	1	2	1
5561.20351	1.1905797	3	18	1	1	1	17	2	2
5562.402266	1.1906758	3	19	1	1	1	2	2	3
5563.601168	1.1905416	3	20	1	1	1	18	2	4
5564.799979	1.1905427	3	21	1	1	1	3	2	5
5565.998744	1.1905317	3	22	1	1	1	19	2	6
5567.197494	1.190583	3	23	1	1	1	4	2	7
5568.396292	1.1905389	3	24	1	1	1	20	2	8
5569.59508	1.1906454	3	25	1	1	1	5	2	9
5570.793969	1.1904616	3	26	1	1	1	21	2	10
5571.992686	1.1905304	3	27	1	1	1	6	2	11
5573.19146	1.1907205	3	28	1	1	1	22	2	12
5574.39028	1.1905255	3	29	1	1	1	7	2	13
5575.589061	1.1905703	3	30	1	1	1	23	2	14
5576.78789	1.1905829	3	31	1	1	1	8	2	15
5577.986778	1.1904414	3	32	1	1	1	24	2	16
5579.18546	1.19059	3	33	1	1	1	9	2	17
5580.38427	1.1905222	3	34	1	1	1	25	2	18
5581.583033	1.1905631	3	35	1	1	1	10	2	19
5582.781871	1.1905129	3	36	1	1	1	26	2	20
5583.98064	1.1905992	3	37	1	1	1	11	2	21
5585.179509	1.1904948	3	38	1	1	1	27	2	22
5586.378191	1.1905994	3	39	1	1	1	12	2	23
5587.577049	1.1905196	3	40	1	1	1	28	2	24
5588.775807	1.1905591	3	41	1	1	1	13	2	25
5589.974608	1.190601	3	42	1	1	1	29	2	26
5591.17348	1.1905429	3	43	1	1	1	14	2	27
5592.372271	1.1905603	3	44	1	1	1	30	2	28
5593.571065	1.1904855	3	45	1	1	1	15	2	29
5594.769837	1.1905024	3	46	1	1	1	31	2	30
5595.968592	1.1905869	3	47	1	1	1	16	2	31
5597.167473	1.1904894	3	48	1	1	1	32	2	32
5598.366252	1.1904099	3	49	1	3	5	33	3	1
5599.564968	1.1906038	3	50	1	3	5	33	3	2
5600.763752	1.1905681	3	51	1	3	5	33	3	3
5601.962593	1.1905219	3	52	1	3	5	33	3	4
5603.161363	1.1906735	3	53	1	3	5	33	3	5
5604.360281	1.1903743	3	54	1	3	5	33	3	6
5605.558974	1.1905273	3	55	1	3	5	33	3	7
5606.757739	1.1905745	3	56	1	3	5	33	3	8
5607.956567	1.19057	3	57	1	3	5	33	3	9
5609.155366	1.1905958	3	58	1	3	5	33	3	10
5610.354192	1.1905349	3	59	1	3	5	33	3	11
5611.553001	1.1905499	3	60	1	3	5	33	3	12
5612.751799	1.1905067	3	61	1	3	5	33	3	13
5613.950492	1.1906531	3	62	1	3	5	33	3	14
5615.149318	1.190548	3	63	1	3	5	33	3	15
5616.348096	1.1906094	3	64	1	3	5	33	3	16
5617.546951	1.1904583	3	65	1	1	2	1	4	1
5618.745739	1.1905474	3	66	1	1	2	17	4	2
5619.944476	1.19056	3	67	1	1	2	2	4	3
5621.143278	1.1905395	3	68	1	1	2	18	4	4
5622.342182	1.190535	3	69	1	1	2	3	4	5
5623.540949	1.1904231	3	70	1	1	2	19	4	6
5624.739742	1.1904528	3	71	1	1	2	4	4	7
5625.938474	1.1905374	3	72	1	1	2	20	4	8
5627.137246	1.1905649	3	73	1	1	2	5	4	9
5628.336062	1.1905483	3	74	1	1	2	21	4	10
5629.534849	1.1906337	3	75	1	1	2	6	4	11
5630.733702	1.1905585	3	76	1	1	2	22	4	12
5631.932498	1.1904971	3	77	1	1	2	7	4	13
5633.1312	1.1906416	3	78	1	1	2	23	4	14
5634.330119	1.1905127	3	79	1	1	2	8	4	15
5635.528885	1.1905077	3	80	1	1	2	24	4	16
5636.727625	1.1907073	3	81	1	1	2	9	4	17
5637.926442	1.1905263	3	82	1	1	2	25	4	18
5639.12519	1.1906474	3	83	1	1	2	10	4	19
5640.324023	1.1905872	3	84	1	1	2	26	4	20
5641.522859	1.1904947	3	85	1	1	2	11	4	21
5642.721598	1.1905289	3	86	1	1	2	27	4	22
5643.920419	1.1905394	3	87	1	1	2	12	4	23
5645.119195	1.1905176	3	88	1	1	2	28	4	24
5646.317981	1.1906512	3	89	1	1	2	13	4	25
5647.516872	1.1904772	3	90	1	1	2	29	4	26
5648.71557	1.1906093	3	91	1	1	2	14	4	27
5649.914378	1.1905685	3	92	1	1	2	30	4	28
5651.113162	1.1905515	3	93	1	1	2	15	4	29
5652.311959	1.1905694	3	94	1	1	2	31	4	30
5653.510768	1.190605	3	95	1	1	2	16	4	31
5654.709613	1.1904889	3	96	1	1	2	32	4	32
5655.908412	1.1906265	3	97	1	3	5	33	5	1
5657.107184	1.1905071	3	98	1	3	5	33	5	2
5658.305923	1.1905724	3	99	1	3	5	33	5	3
5659.504742	1.1905043	3	100	1	3	5	33	5	4
5660.703566	1.1905188	3	101	1	3	5	33	5	5
5661.902364	1.1904833	3	102	1	3	5	33	5	6
5663.101077	1.1905849	3	103	1	3	5	33	5	7
5664.299925	1.1905367	3	104	1	3	5	33	5	8
5665.498693	1.1905446	3	105	1	3	5	33	5	9
5666.697495	1.1905626	3	106	1	3	5	33	5	10
5667.896308	1.1905916	3	107	1	3	5	33	5	11
5669.095185	1.1904672	3	108	1	3	5	33	5	12
5670.293942	1.1988912	3	109	1	3	5	33	5	13
5671.501022	1.1905918	3	110	1	3	5	33	5	14
5672.699802	1.190557	3	111	1	3	5	33	5	15
5673.898562	1.1906092	3	112	1	3	5	33	5	16
5675.105681	1.1905816	3	113	1	1	3	1	6	1
5676.30448	1.1906553	3	114	1	1	3	17	6	2
5677.503355	1.1905941	3	115	1	1	3	2	6	3
5678.702175	1.1904937	3	116	1	1	3	18	6	4
5679.900897	1.1905906	3	117	1	1	3	3	6	5
5681.099695	1.1906129	3	118	1	1	3	19	6	6
5682.298468	1.1906684	3	119	1	1	3	4	6	7
5683.497388	1.1904766	3	120	1	1	3	20	6	8
5684.696085	1.1905541	3	121	1	1	3	5	6	9
5685.89489	1.1905637	3	122	1	1	3	21	6	10
5687.093669	1.1906169	3	123	1	1	3	6	6	11
5688.292468	1.1905543	3	124	1	1	3	22	6	12
5689.491309	1.1905663	3	125	1	1	3	7	6	13
5690.690108	1.1904973	3	126	1	1	3	23	6	14
5691.88886	1.1905772	3	127	1	1	3	8	6	15
5693.087645	1.1906389	3	128	1	1	3	24	6	16
5694.286504	1.1905049	3	129	1	1	3	9	6	17
5695.48529	1.1905719	3	130	1	1	3	25	6	18
5696.684109	1.1904818	3	131	1	1	3	10	6	19
5697.88284	1.190675	3	132	1	1	3	26	6	20
5699.081626	1.1905645	3	133	1	1	3	11	6	21
5700.280437	1.1905586	3	134	1	1	3	27	6	22
5701.47923	1.190563	3	135	1	1	3	12	6	23
5702.678028	1.1906245	3	136	1	1	3	28	6	24
5703.876876	1.1905143	3	137	1	1	3	13	6	25
5705.075617	1.1906057	3	138	1	1	3	29	6	26
5706.27441	1.1905711	3	139	1	1	3	14	6	27
5707.473273	1.1904784	3	140	1	1	3	30	6	28
5708.671999	1.1905522	3	141	1	1	3	15	6	29
5709.870794	1.1905545	3	142	1	1	3	31	6	30
5711.069647	1.1904991	3	143	1	1	3	16	6	31
5712.268475	1.190545	3	144	1	1	3	32	6	32
5713.467212	1.1905915	3	145	1	3	5	33	7	1
5714.666046	1.1905461	3	146	1	3	5	33	7	2
5715.864837	1.190456	3	147	1	3	5	33	7	3
5717.063543	1.1906425	3	148	1	3	5	33	7	4
5718.262434	1.190483	3	149	1	3	5	33	7	5
5719.461163	1.1905496	3	150	1	3	5	33	7	6
5720.660019	1.1904641	3	151	1	3	5	33	7	7
5721.858727	1.1905155	3	152	1	3	5	33	7	8
5723.057625	1.1904589	3	153	1	3	5	33	7	9
5724.256325	1.1905513	3	154	1	3	5	33	7	10
5725.455147	1.1905792	3	155	1	3	5	33	7	11
5726.653961	1.1904876	3	156	1	3	5	33	7	12
5727.85273	1.1905142	3	157	1	3	5	33	7	13
5729.051557	1.1905048	3	158	1	3	5	33	7	14
5730.250298	1.1905869	3	159	1	3	5	33	7	15
5731.449101	1.1906369	3	160	1	3	5	33	7	16
5732.647942	1.1905007	3	161	1	1	4	1	8	1
5733.846683	1.1906468	3	162	1	1	4	17	8	2
5735.045516	1.1904695	3	163	1	1	4	2	8	3
5736.244267	1.190666	3	164	1	1	4	18	8	4
5737.44307	1.1905683	3	165	1	1	4	3	8	5
5738.641909	1.1905196	3	166	1	1	4	19	8	6
5739.840695	1.190513	3	167	1	1	4	4	8	7
5741.039459	1.1905472	3	168	1	1	4	20	8	8
5742.238232	1.1905952	3	169	1	1	4	5	8	9
5743.437044	1.1905749	3	170	1	1	4	21	8	10
5744.635831	1.1905923	3	171	1	1	4	6	8	11
5745.834715	1.1905047	3	172	1	1	4	22	8	12
5747.033445	1.1905512	3	173	1	1	4	7	8	13
5748.232194	1.1906461	3	174	1	1	4	23	8	14
5749.431194	1.1903977	3	175	1	1	4	8	8	15
5750.629825	1.1905612	3	176	1	1	4	24	8	16
5751.828619	1.1905725	3	177	1	1	4	9	8	17
5753.027506	1.1904703	3	178	1	1	4	25	8	18
5754.22621	1.1905701	3	179	1	1	4	10	8	19
5755.425048	1.1905319	3	180	1	1	4	26	8	20
5756.623871	1.1905358	3	181	1	1	4	11	8	21
5757.822601	1.190573	3	182	1	1	4	27	8	22
5759.021415	1.1905411	3	183	1	1	4	12	8	23
5760.220183	1.1905644	3	184	1	1	4	28	8	24
5761.418983	1.1907272	3	185	1	1	4	13	8	25
5762.617782	1.1906082	3	186	1	1	4	29	8	26
5763.816592	1.190538	3	187	1	1	4	14	8	27
5765.015417	1.1905278	3	188	1	1	4	30	8	28
5766.214194	1.1905057	3	189	1	1	4	15	8	29
5767.412979	1.1905613	3	190	1	1	4	31	8	30
5768.611832	1.1904788	3	191	1	1	4	16	8	31
5769.810528	1.1905875	3	192	1	1	4	32	8	32
5771.009411	1.1904473	3	193	1	3	5	33	9	1
5772.20811	1.1906687	3	194	1	3	5	33	9	2
5773.406995	1.1904997	3	195	1	3	5	33	9	3
5774.605817	1.1905332	3	196	1	3	5	33	9	4
5775.804592	1.1905229	3	197	1	3	5	33	9	5
5777.003282	1.1905997	3	198	1	3	5	33	9	6
5778.202116	1.1906503	3	199	1	3	5	33	9	7
5779.401008	1.1905136	3	200	1	3	5	33	9	8
5780.599795	1.190426	3	201	1	3	5	33	9	9
5781.798633	1.1906532	3	202	1	3	5	33	9	10
5782.997421	1.1904855	3	203	1	3	5	33	9	11
5784.196121	1.19063	3	204	1	3	5	33	9	12
5785.394988	1.1904076	3	205	1	3	5	33	9	13
5786.593723	1.1904847	3	206	1	3	5	33	9	14
5787.792461	1.1905444	3	207	1	3	5	33	9	15
5788.991239	1.1906163	3	208	1	3	5	33	9	16
