onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
5073.716307	1.1903841	1	1	1	3	5	33	1	1
5074.914945	1.1905636	1	2	1	3	5	33	1	2
5076.113747	1.1905423	1	3	1	3	5	33	1	3
5077.312553	1.1905899	1	4	1	3	5	33	1	4
5078.512086	1.1904672	1	5	1	3	5	33	1	5
5079.710289	1.1903323	1	6	1	3	5	33	1	6
5080.908833	1.1905263	1	7	1	3	5	33	1	7
5082.10774	1.19051	1	8	1	3	5	33	1	8
5083.306475	1.1905468	1	9	1	3	5	33	1	9
5084.505238	1.1905065	1	10	1	3	5	33	1	10
5085.704011	1.1905022	1	11	1	3	5	33	1	11
5086.902864	1.1904838	1	12	1	3	5	33	1	12
5088.101683	1.1904649	1	13	1	3	5	33	1	13
5089.300427	1.1905223	1	14	1	3	5	33	1	14
5090.499219	1.1905452	1	15	1	3	5	33	1	15
5091.698028	1.1905242	1	16	1	3	5	33	1	16
5092.914055	1.1899541	1	17	1	1	3	1	2	1
5094.112266	1.190547	1	18	1	1	3	17	2	2
5095.311114	1.1904557	1	19	1	1	3	2	2	3
5096.50984	1.1905161	1	20	1	1	3	18	2	4
5097.708642	1.1905471	1	21	1	1	3	3	2	5
5098.90747	1.1905235	1	22	1	1	3	19	2	6
5100.10617	1.1906349	1	23	1	1	3	4	2	7
5101.305074	1.1905024	1	24	1	1	3	20	2	8
5102.503838	1.1904669	1	25	1	1	3	5	2	9
5103.70267	1.1904921	1	26	1	1	3	21	2	10
5104.901386	1.1905038	1	27	1	1	3	6	2	11
5106.100175	1.1905649	1	28	1	1	3	22	2	12
5107.299009	1.1905738	1	29	1	1	3	7	2	13
5108.49786	1.1904307	1	30	1	1	3	23	2	14
5109.696651	1.1905337	1	31	1	1	3	8	2	15
5110.895414	1.1905444	1	32	1	1	3	24	2	16
5112.094226	1.1904964	1	33	1	1	3	9	2	17
5113.293049	1.1904774	1	34	1	1	3	25	2	18
5114.491837	1.1904986	1	35	1	1	3	10	2	19
5115.690586	1.1905609	1	36	1	1	3	26	2	20
5116.889396	1.1905838	1	37	1	1	3	11	2	21
5118.088214	1.1905518	1	38	1	1	3	27	2	22
5119.286991	1.1905671	1	39	1	1	3	12	2	23
5120.485829	1.1905597	1	40	1	1	3	28	2	24
5121.684591	1.1904782	1	41	1	1	3	13	2	25
5122.883428	1.1904994	1	42	1	1	3	29	2	26
5124.082194	1.1905117	1	43	1	1	3	14	2	27
5125.280983	1.1905226	1	44	1	1	3	30	2	28
5126.479772	1.1905504	1	45	1	1	3	15	2	29
5127.678614	1.1905175	1	46	1	1	3	31	2	30
5128.87738	1.1905104	1	47	1	1	3	16	2	31
5130.076216	1.1905135	1	48	1	1	3	32	2	32
5131.274923	1.1905923	1	49	1	3	5	33	3	1
5132.473769	1.1905148	1	50	1	3	5	33	3	2
