onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
6270.428281	1.1903283	2	1	1	3	5	33	1	1
6271.626868	1.1905739	2	2	1	3	5	33	1	2
6272.825603	1.1906971	2	3	1	3	5	33	1	3
6274.024525	1.1905602	2	4	1	3	5	33	1	4
6275.224219	1.1906066	2	5	1	3	5	33	1	5
6276.422219	1.1909194	2	6	1	3	5	33	1	6
6277.620672	1.1907137	2	7	1	3	5	33	1	7
6278.81965	1.1903653	2	8	1	3	5	33	1	8
6280.018337	1.1904727	2	9	1	3	5	33	1	9
6281.217062	1.1905321	2	10	1	3	5	33	1	10
6282.415835	1.1905952	2	11	1	3	5	33	1	11
6283.614634	1.1906147	2	12	1	3	5	33	1	12
6284.813425	1.1905755	2	13	1	3	5	33	1	13
6286.012223	1.1905994	2	14	1	3	5	33	1	14
6287.21105	1.190585	2	15	1	3	5	33	1	15
6288.409915	1.1904888	2	16	1	3	5	33	1	16
6289.625979	1.1898821	2	17	1	1	3	1	2	1
6290.824102	1.1905077	2	18	1	1	3	17	2	2
6292.02285	1.1905514	2	19	1	1	3	2	2	3
6293.221637	1.1905767	2	20	1	1	3	18	2	4
6294.420509	1.1905015	2	21	1	1	3	3	2	5
6295.61926	1.1906162	2	22	1	1	3	19	2	6
6296.818112	1.1904847	2	23	1	1	3	4	2	7
6298.016843	1.1905017	2	24	1	1	3	20	2	8
6299.215576	1.1906773	2	25	1	1	3	5	2	9
6300.414461	1.190558	2	26	1	1	3	21	2	10
6301.613222	1.1906047	2	27	1	1	3	6	2	11
6302.812046	1.1905821	2	28	1	1	3	22	2	12
6304.010823	1.1906137	2	29	1	1	3	7	2	13
6305.20964	1.1905413	2	30	1	1	3	23	2	14
6306.408498	1.1904949	2	31	1	1	3	8	2	15
6307.607199	1.1905541	2	32	1	1	3	24	2	16
6308.806024	1.1904873	2	33	1	1	3	9	2	17
6310.004826	1.1904806	2	34	1	1	3	25	2	18
6311.20359	1.1905573	2	35	1	1	3	10	2	19
6312.402377	1.1906488	2	36	1	1	3	26	2	20
6313.601263	1.1904674	2	37	1	1	3	11	2	21
6314.799966	1.1906193	2	38	1	1	3	27	2	22
6315.998783	1.1905311	2	39	1	1	3	12	2	23
6317.197624	1.1904963	2	40	1	1	3	28	2	24
6318.396351	1.1905772	2	41	1	1	3	13	2	25
6319.595165	1.1905375	2	42	1	1	3	29	2	26
6320.793958	1.190593	2	43	1	1	3	14	2	27
6321.992776	1.1905216	2	44	1	1	3	30	2	28
6323.191605	1.1904456	2	45	1	1	3	15	2	29
6324.390291	1.1906076	2	46	1	1	3	31	2	30
6325.589214	1.1905254	2	47	1	1	3	16	2	31
6326.787917	1.1905858	2	48	1	1	3	32	2	32
6327.986807	1.1904732	2	49	1	3	5	33	3	1
6329.185498	1.1906307	2	50	1	3	5	33	3	2
6330.384338	1.190492	2	51	1	3	5	33	3	3
6331.583175	1.1904999	2	52	1	3	5	33	3	4
6332.781881	1.1906678	2	53	1	3	5	33	3	5
6333.980749	1.1905738	2	54	1	3	5	33	3	6
6335.17956	1.1904462	2	55	1	3	5	33	3	7
6336.378286	1.1905516	2	56	1	3	5	33	3	8
6337.577067	1.1906068	2	57	1	3	5	33	3	9
6338.775929	1.1905873	2	58	1	3	5	33	3	10
6339.974672	1.1905539	2	59	1	3	5	33	3	11
6341.173491	1.1906204	2	60	1	3	5	33	3	12
6342.372357	1.1904214	2	61	1	3	5	33	3	13
6343.571014	1.1905698	2	62	1	3	5	33	3	14
6344.769833	1.1906209	2	63	1	3	5	33	3	15
6345.968725	1.1905514	2	64	1	3	5	33	3	16
6347.167493	1.1905221	2	65	1	1	1	1	4	1
6348.366292	1.1905393	2	66	1	1	1	17	4	2
6349.565102	1.1905136	2	67	1	1	1	2	4	3
6350.763854	1.1905677	2	68	1	1	1	18	4	4
6351.962597	1.1906177	2	69	1	1	1	3	4	5
6353.161422	1.1905258	2	70	1	1	1	19	4	6
6354.360335	1.1903822	2	71	1	1	1	4	4	7
6355.559073	1.1905257	2	72	1	1	1	20	4	8
6356.757878	1.1906427	2	73	1	1	1	5	4	9
6357.956638	1.190534	2	74	1	1	1	21	4	10
6359.155377	1.1905533	2	75	1	1	1	6	4	11
6360.35429	1.1904579	2	76	1	1	1	22	4	12
6361.552973	1.1906211	2	77	1	1	1	7	4	13
6362.751855	1.1905254	2	78	1	1	1	23	4	14
6363.95061	1.1906004	2	79	1	1	1	8	4	15
6365.149369	1.1906193	2	80	1	1	1	24	4	16
6366.348243	1.1904728	2	81	1	1	1	9	4	17
6367.546957	1.1905996	2	82	1	1	1	25	4	18
6368.745822	1.1904786	2	83	1	1	1	10	4	19
6369.944552	1.1905504	2	84	1	1	1	26	4	20
6371.143292	1.1905897	2	85	1	1	1	11	4	21
6372.342144	1.1906569	2	86	1	1	1	27	4	22
6373.541023	1.1905525	2	87	1	1	1	12	4	23
6374.739776	1.1904875	2	88	1	1	1	28	4	24
6375.938513	1.1906421	2	89	1	1	1	13	4	25
6377.137384	1.1905579	2	90	1	1	1	29	4	26
6378.336215	1.1904822	2	91	1	1	1	14	4	27
6379.534952	1.190514	2	92	1	1	1	30	4	28
6380.733706	1.1905522	2	93	1	1	1	15	4	29
6381.932492	1.1905979	2	94	1	1	1	31	4	30
6383.131378	1.1904835	2	95	1	1	1	16	4	31
6384.330079	1.1906734	2	96	1	1	1	32	4	32
6385.528823	1.1905972	2	97	1	3	5	33	5	1
6386.727693	1.1905262	2	98	1	3	5	33	5	2
6387.926466	1.1905424	2	99	1	3	5	33	5	3
6389.125295	1.1905888	2	100	1	3	5	33	5	4
6390.32415	1.1905225	2	101	1	3	5	33	5	5
6391.522846	1.1905622	2	102	1	3	5	33	5	6
6392.721648	1.1905654	2	103	1	3	5	33	5	7
6393.920447	1.1905494	2	104	1	3	5	33	5	8
6395.119231	1.1905679	2	105	1	3	5	33	5	9
6396.318118	1.1905033	2	106	1	3	5	33	5	10
6397.516898	1.1905002	2	107	1	3	5	33	5	11
6398.71563	1.1906503	2	108	1	3	5	33	5	12
6399.914433	1.1906233	2	109	1	3	5	33	5	13
6401.113266	1.1904832	2	110	1	3	5	33	5	14
6402.312004	1.1905601	2	111	1	3	5	33	5	15
6403.510796	1.190574	2	112	1	3	5	33	5	16
6404.71798	1.1905375	2	113	1	1	2	1	6	1
6405.916657	1.190687	2	114	1	1	2	17	6	2
6407.11553	1.1906334	2	115	1	1	2	2	6	3
6408.314339	1.1906164	2	116	1	1	2	18	6	4
6409.513182	1.190427	2	117	1	1	2	3	6	5
6410.711944	1.1905088	2	118	1	1	2	19	6	6
6411.910683	1.1906205	2	119	1	1	2	4	6	7
6413.109534	1.1904839	2	120	1	1	2	20	6	8
6414.308276	1.1906456	2	121	1	1	2	5	6	9
6415.507158	1.1905134	2	122	1	1	2	21	6	10
6416.705957	1.1905147	2	123	1	1	2	6	6	11
6417.904643	1.1906684	2	124	1	1	2	22	6	12
6419.103559	1.1904671	2	125	1	1	2	7	6	13
6420.302297	1.190637	2	126	1	1	2	23	6	14
6421.501104	1.1905016	2	127	1	1	2	8	6	15
6422.699833	1.1906157	2	128	1	1	2	24	6	16
6423.898657	1.1906229	2	129	1	1	2	9	6	17
6425.097483	1.1905168	2	130	1	1	2	25	6	18
6426.296306	1.1904495	2	131	1	1	2	10	6	19
6427.494999	1.1905687	2	132	1	1	2	26	6	20
6428.693817	1.1905579	2	133	1	1	2	11	6	21
6429.892614	1.1905905	2	134	1	1	2	27	6	22
6431.091389	1.1906387	2	135	1	1	2	12	6	23
6432.290235	1.1906255	2	136	1	1	2	28	6	24
6433.489095	1.1905687	2	137	1	1	2	13	6	25
6434.687891	1.1904511	2	138	1	1	2	29	6	26
6435.886569	1.1905996	2	139	1	1	2	14	6	27
6437.08541	1.1905727	2	140	1	1	2	30	6	28
6438.28418	1.1905417	2	141	1	1	2	15	6	29
6439.48308	1.1905107	2	142	1	1	2	31	6	30
6440.681833	1.1905085	2	143	1	1	2	16	6	31
6441.880592	1.1905825	2	144	1	1	2	32	6	32
6443.079373	1.1905321	2	145	1	3	5	33	7	1
6444.278115	1.1905969	2	146	1	3	5	33	7	2
6445.476964	1.1905565	2	147	1	3	5	33	7	3
6446.675743	1.1905662	2	148	1	3	5	33	7	4
6447.874494	1.1906037	2	149	1	3	5	33	7	5
6449.073386	1.1905885	2	150	1	3	5	33	7	6
6450.272136	1.1906238	2	151	1	3	5	33	7	7
6451.471015	1.1905627	2	152	1	3	5	33	7	8
6452.669806	1.1904846	2	153	1	3	5	33	7	9
6453.8685	1.1905496	2	154	1	3	5	33	7	10
6455.06731	1.1905749	2	155	1	3	5	33	7	11
6456.266174	1.1905576	2	156	1	3	5	33	7	12
6457.464991	1.1905355	2	157	1	3	5	33	7	13
6458.663696	1.1906484	2	158	1	3	5	33	7	14
6459.862545	1.1904572	2	159	1	3	5	33	7	15
6461.061246	1.1906452	2	160	1	3	5	33	7	16
6462.260078	1.1905702	2	161	1	1	4	1	8	1
6463.458926	1.19057	2	162	1	1	4	17	8	2
6464.657705	1.190514	2	163	1	1	4	2	8	3
6465.856464	1.1905001	2	164	1	1	4	18	8	4
6467.055216	1.190689	2	165	1	1	4	3	8	5
6468.254145	1.1904608	2	166	1	1	4	19	8	6
6469.452829	1.1906081	2	167	1	1	4	4	8	7
6470.651726	1.1905037	2	168	1	1	4	20	8	8
6471.850504	1.1906032	2	169	1	1	4	5	8	9
6473.049329	1.1905063	2	170	1	1	4	21	8	10
6474.248123	1.1904672	2	171	1	1	4	6	8	11
6475.446848	1.1905781	2	172	1	1	4	22	8	12
6476.645667	1.1905754	2	173	1	1	4	7	8	13
6477.844575	1.1903916	2	174	1	1	4	23	8	14
6479.04322	1.1905451	2	175	1	1	4	8	8	15
6480.242011	1.1905907	2	176	1	1	4	24	8	16
6481.440803	1.1905896	2	177	1	1	4	9	8	17
6482.639616	1.1905992	2	178	1	1	4	25	8	18
