onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
118398.651	1.2161754	4	1	1	3	5	33	1	1
118399.8742	1.1931136	4	2	1	3	5	33	1	2
118401.0745	1.1936705	4	3	1	3	5	33	1	3
118402.2754	1.1930991	4	4	1	3	5	33	1	4
118403.4762	1.1935291	4	5	1	3	5	33	1	5
118404.6764	1.1932966	4	6	1	3	5	33	1	6
118405.8761	1.1934477	4	7	1	3	5	33	1	7
118407.0765	1.1933515	4	8	1	3	5	33	1	8
118408.277	1.193144	4	9	1	3	5	33	1	9
118409.4773	1.1935232	4	10	1	3	5	33	1	10
118410.6778	1.1932976	4	11	1	3	5	33	1	11
118411.8783	1.1935192	4	12	1	3	5	33	1	12
118413.0786	1.193391	4	13	1	3	5	33	1	13
118414.279	1.1931545	4	14	1	3	5	33	1	14
118415.4794	1.1935316	4	15	1	3	5	33	1	15
118416.6798	1.1933067	4	16	1	3	5	33	1	16
118417.8977	1.1926384	4	17	1	2	3	1	2	1
118419.0973	1.1931962	4	18	1	2	3	17	2	2
118420.2977	1.1935682	4	19	1	2	3	2	2	3
118421.4982	1.1932855	4	20	1	2	3	18	2	4
118422.6985	1.193644	4	21	1	2	3	3	2	5
118423.899	1.1935885	4	22	1	2	3	19	2	6
118425.0994	1.1934146	4	23	1	2	3	4	2	7
118426.2998	1.1932133	4	24	1	2	3	20	2	8
118427.5002	1.1935538	4	25	1	2	3	5	2	9
118428.7006	1.1933167	4	26	1	2	3	21	2	10
118429.9013	1.1928411	4	27	1	2	3	6	2	11
118431.1014	1.1935097	4	28	1	2	3	22	2	12
118432.3018	1.19329	4	29	1	2	3	7	2	13
118433.5022	1.1935932	4	30	1	2	3	23	2	14
118434.7026	1.1934039	4	31	1	2	3	8	2	15
118435.9031	1.1932037	4	32	1	2	3	24	2	16
118437.1034	1.1935942	4	33	1	2	3	9	2	17
118438.3039	1.1933596	4	34	1	2	3	25	2	18
118439.5043	1.1932139	4	35	1	2	3	10	2	19
118440.7047	1.1934709	4	36	1	2	3	26	2	20
118441.9051	1.1932683	4	37	1	2	3	11	2	21
118443.1055	1.1935473	4	38	1	2	3	27	2	22
118444.306	1.1933883	4	39	1	2	3	12	2	23
118445.5064	1.1932409	4	40	1	2	3	28	2	24
118446.7069	1.193462	4	41	1	2	3	13	2	25
118447.9072	1.1933805	4	42	1	2	3	29	2	26
118449.1075	1.1932637	4	43	1	2	3	14	2	27
118450.308	1.193498	4	44	1	2	3	30	2	28
118451.5084	1.1933223	4	45	1	2	3	15	2	29
118452.7089	1.1935706	4	46	1	2	3	31	2	30
118453.9093	1.1933989	4	47	1	2	3	16	2	31
118455.1096	1.1932476	4	48	1	2	3	32	2	32
118456.31	1.1935674	4	49	1	3	5	33	3	1
118457.5105	1.1932348	4	50	1	3	5	33	3	2
118458.7109	1.1931617	4	51	1	3	5	33	3	3
118459.9113	1.1935243	4	52	1	3	5	33	3	4
118461.1117	1.1933051	4	53	1	3	5	33	3	5
