onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
9203.033007	14.0274232	1	1	1	3	5	33	1	1
9217.146656	14.1801835	1	2	1	3	5	33	1	2
9231.416243	14.3673645	1	3	1	3	5	33	1	3
9245.872295	14.426519	1	4	1	3	5	33	1	4
9260.393434	14.1265444	1	5	1	3	5	33	1	5
9274.61461	14.4965748	1	6	1	3	5	33	1	6
9289.215816	14.561734	1	7	1	3	5	33	1	7
9303.877792	13.1401603	1	8	1	3	5	33	1	8
9317.100577	13.6751239	1	9	1	3	5	33	1	9
9330.901493	14.1214099	1	10	1	3	5	33	1	10
9345.106348	12.700497	1	11	1	3	5	33	1	11
9357.884634	11.8900669	1	12	1	3	5	33	1	12
9369.858248	11.924964	1	13	1	3	5	33	1	13
9381.865319	11.9172911	1	14	1	3	5	33	1	14
9393.863053	11.8942901	1	15	1	3	5	33	1	15
9405.836803	11.8899036	1	16	1	3	5	33	1	16
9417.827425	12.0318428	1	17	1	2	2	1	2	1
9429.943946	12.1351607	1	18	1	2	2	17	2	2
9442.158712	12.0973889	1	19	1	2	2	2	2	3
9454.339479	12.0196594	1	20	1	2	2	18	2	4
9466.439226	12.0900936	1	21	1	2	2	3	2	5
9478.612547	12.1098233	1	22	1	2	2	19	2	6
9490.801587	12.014937	1	23	1	2	2	4	2	7
9502.899728	12.0748273	1	24	1	2	2	20	2	8
9515.059996	12.0043271	1	25	1	2	2	5	2	9
9527.147907	12.0484971	1	26	1	2	2	21	2	10
9539.279448	11.996532	1	27	1	2	2	6	2	11
9551.352887	11.9932277	1	28	1	2	2	22	2	12
9563.426157	12.032174	1	29	1	2	2	7	2	13
9575.541391	12.057574	1	30	1	2	2	23	2	14
9587.685602	12.1782861	1	31	1	2	2	8	2	15
9599.946441	12.0117209	1	32	1	2	2	24	2	16
9612.042281	12.0438098	1	33	1	2	2	9	2	17
9624.16936	12.0491982	1	34	1	2	2	25	2	18
9636.300403	12.0900188	1	35	1	2	2	10	2	19
9648.474534	12.0307221	1	36	1	2	2	26	2	20
9660.588786	12.1122579	1	37	1	2	2	11	2	21
9672.77965	12.060634	1	38	1	2	2	27	2	22
9684.918904	12.0238688	1	39	1	2	2	12	2	23
9697.029594	11.9731873	1	40	1	2	2	28	2	24
9709.082706	12.0236592	1	41	1	2	2	13	2	25
9721.189477	12.0247897	1	42	1	2	2	29	2	26
9733.297072	12.0319225	1	43	1	2	2	14	2	27
9745.411856	12.0736791	1	44	1	2	2	30	2	28
9757.568609	12.0657268	1	45	1	2	2	15	2	29
9769.717357	12.0740059	1	46	1	2	2	31	2	30
9781.878589	12.020576	1	47	1	2	2	16	2	31
9793.984716	12.0275432	1	48	1	2	2	32	2	32
9806.095816	11.9614193	1	49	1	3	5	33	3	1
9818.136994	11.9402728	1	50	1	3	5	33	3	2
9830.160446	11.9193894	1	51	1	3	5	33	3	3
9842.158394	11.9329728	1	52	1	3	5	33	3	4
9854.188543	12.0507814	1	53	1	3	5	33	3	5
9866.329025	11.9273055	1	54	1	3	5	33	3	6
9878.33769	12.0173952	1	55	1	3	5	33	3	7
9890.444494	12.0272713	1	56	1	3	5	33	3	8
9902.550239	11.769924	1	57	1	3	5	33	3	9
9914.399639	11.9398423	1	58	1	3	5	33	3	10
9926.422795	11.9494356	1	59	1	3	5	33	3	11
9938.454695	11.8821632	1	60	1	3	5	33	3	12
9950.421263	11.7761822	1	61	1	3	5	33	3	13
9962.277068	11.9154945	1	62	1	3	5	33	3	14
9974.27529	11.9416429	1	63	1	3	5	33	3	15
9986.29928	11.9482732	1	64	1	3	5	33	3	16
9998.330326	12.0008173	1	65	1	2	4	1	4	1
10010.41721	12.0209038	1	66	1	2	4	17	4	2
10022.51869	12.0737655	1	67	1	2	4	2	4	3
10034.67622	12.0816449	1	68	1	2	4	18	4	4
10046.84022	11.9659066	1	69	1	2	4	3	4	5
10058.88887	12.0037825	1	70	1	2	4	19	4	6
10070.97992	12.0089782	1	71	1	2	4	4	4	7
10083.06881	12.0315943	1	72	1	2	4	20	4	8
10095.18327	11.9819321	1	73	1	2	4	5	4	9
10107.24786	11.9912652	1	74	1	2	4	21	4	10
10119.32147	12.0082289	1	75	1	2	4	6	4	11
10131.41189	12.0650903	1	76	1	2	4	22	4	12
10143.56018	12.0141032	1	77	1	2	4	7	4	13
10155.65799	12.0067878	1	78	1	2	4	23	4	14
10167.75125	12.0539233	1	79	1	2	4	8	4	15
10179.88816	12.0644051	1	80	1	2	4	24	4	16
10192.03969	11.91974	1	81	1	2	4	9	4	17
10204.0454	12.0236439	1	82	1	2	4	25	4	18
10216.14895	12.0358265	1	83	1	2	4	10	4	19
10228.26424	12.0650453	1	84	1	2	4	26	4	20
10240.41247	11.983206	1	85	1	2	4	11	4	21
10252.47657	11.9580221	1	86	1	2	4	27	4	22
10264.51672	12.0161109	1	87	1	2	4	12	4	23
10276.615	12.0702013	1	88	1	2	4	28	4	24
10288.76354	12.0660099	1	89	1	2	4	13	4	25
10300.91124	11.9821856	1	90	1	2	4	29	4	26
10312.98243	12.0169141	1	91	1	2	4	14	4	27
10325.0833	12.0734622	1	92	1	2	4	30	4	28
10337.24002	12.0878977	1	93	1	2	4	15	4	29
10349.4044	11.973416	1	94	1	2	4	31	4	30
10361.46096	12.1159427	1	95	1	2	4	16	4	31
10373.66012	12.0597042	1	96	1	2	4	32	4	32
10385.79909	11.9404575	1	97	1	3	5	33	5	1
10397.82392	11.7636403	1	98	1	3	5	33	5	2
10409.6699	11.9081013	1	99	1	3	5	33	5	3
10421.66233	11.9193282	1	100	1	3	5	33	5	4
10433.65965	11.9150712	1	101	1	3	5	33	5	5
10445.65722	11.8353095	1	102	1	3	5	33	5	6
10457.57106	11.8875131	1	103	1	3	5	33	5	7
10469.53703	11.9363645	1	104	1	3	5	33	5	8
10481.55177	11.9192341	1	105	1	3	5	33	5	9
10493.551	11.8687997	1	106	1	3	5	33	5	10
10505.4981	11.8415667	1	107	1	3	5	33	5	11
10517.42152	11.9540799	1	108	1	3	5	33	5	12
10529.45292	11.9446607	1	109	1	3	5	33	5	13
10541.47711	11.8600525	1	110	1	3	5	33	5	14
10553.41586	11.8453653	1	111	1	3	5	33	5	15
10565.33943	11.9319518	1	112	1	3	5	33	5	16
10577.35475	12.0316481	1	113	1	2	3	1	6	1
10589.46975	12.0732747	1	114	1	2	3	17	6	2
10601.6253	11.9836756	1	115	1	2	3	2	6	3
10613.69083	12.0405462	1	116	1	2	3	18	6	4
10625.81489	12.0728176	1	117	1	2	3	3	6	5
10637.97121	12.0262043	1	118	1	2	3	19	6	6
10650.07693	12.0660946	1	119	1	2	3	4	6	7
10662.22571	12.0604554	1	120	1	2	3	20	6	8
10674.36564	12.0323304	1	121	1	2	3	5	6	9
10686.48093	12.1233958	1	122	1	2	3	21	6	10
10698.68751	11.9228555	1	123	1	2	3	6	6	11
10710.69286	12.0323787	1	124	1	2	3	22	6	12
10722.80848	12.0444219	1	125	1	2	3	7	6	13
10734.93165	12.0160377	1	126	1	2	3	23	6	14
10747.03374	12.0004077	1	127	1	2	3	8	6	15
10759.11119	12.0824957	1	128	1	2	3	24	6	16
10771.27677	12.0254486	1	129	1	2	3	9	6	17
10783.38299	12.0069317	1	130	1	2	3	25	6	18
10795.47295	11.9646552	1	131	1	2	3	10	6	19
10807.52043	12.0039656	1	132	1	2	3	26	6	20
10819.60331	12.1189416	1	133	1	2	3	11	6	21
10831.80022	12.0079836	1	134	1	2	3	27	6	22
10843.8918	12.0137329	1	135	1	2	3	12	6	23
10855.99181	11.9719257	1	136	1	2	3	28	6	24
10868.05019	12.0565929	1	137	1	2	3	13	6	25
10880.18512	12.0916849	1	138	1	2	3	29	6	26
10892.35833	11.973814	1	139	1	2	3	14	6	27
10904.4152	12.0205231	1	140	1	2	3	30	6	28
10916.51422	12.032323	1	141	1	2	3	15	6	29
10928.64109	12.057421	1	142	1	2	3	31	6	30
10940.77647	12.0235837	1	143	1	2	3	16	6	31
10952.8835	11.9988141	1	144	1	2	3	32	6	32
10964.96524	11.9392994	1	145	1	3	5	33	7	1
10976.99487	11.9187444	1	146	1	3	5	33	7	2
10988.99881	11.9202519	1	147	1	3	5	33	7	3
11001.00448	11.7788195	1	148	1	3	5	33	7	4
11012.86613	11.9321125	1	149	1	3	5	33	7	5
11024.88174	11.957931	1	150	1	3	5	33	7	6
11036.92116	11.941587	1	151	1	3	5	33	7	7
11048.94458	11.7484979	1	152	1	3	5	33	7	8
11060.77622	11.9366773	1	153	1	3	5	33	7	9
11072.79141	11.9685863	1	154	1	3	5	33	7	10
11084.83953	11.9285029	1	155	1	3	5	33	7	11
11096.84876	11.8293456	1	156	1	3	5	33	7	12
11108.76028	11.890433	1	157	1	3	5	33	7	13
11120.73453	11.9398181	1	158	1	3	5	33	7	14
11132.75889	11.946757	1	159	1	3	5	33	7	15
11144.78877	11.7933394	1	160	1	3	5	33	7	16
11156.66237	12.0183876	1	161	1	2	1	1	8	1
11168.7599	12.1654495	1	162	1	2	1	17	8	2
11181.01209	12.0647788	1	163	1	2	1	2	8	3
11193.15735	11.998535	1	164	1	2	1	18	8	4
11205.24245	11.9915672	1	165	1	2	1	3	8	5
11217.31232	12.0694713	1	166	1	2	1	19	8	6
11229.46103	12.0482371	1	167	1	2	1	4	8	7
11241.59148	12.03191	1	168	1	2	1	20	8	8
11253.70599	11.9651039	1	169	1	2	1	5	8	9
11265.75439	12.0571904	1	170	1	2	1	21	8	10
11277.89452	12.0154439	1	171	1	2	1	6	8	11
11289.99618	12.0196669	1	172	1	2	1	22	8	12
11302.09911	11.9990622	1	173	1	2	1	7	8	13
11314.18107	12.0072487	1	174	1	2	1	23	8	14
11326.27151	12.0985821	1	175	1	2	1	8	8	15
11338.453	12.0508539	1	176	1	2	1	24	8	16
11350.58357	11.9787448	1	177	1	2	1	9	8	17
11362.6413	12.0478346	1	178	1	2	1	25	8	18
11374.77185	12.0826336	1	179	1	2	1	10	8	19
11386.93727	12.1106464	1	180	1	2	1	26	8	20
11399.12758	11.9655688	1	181	1	2	1	11	8	21
11411.1754	12.0229977	1	182	1	2	1	27	8	22
11423.28192	12.0533343	1	183	1	2	1	12	8	23
11435.41345	12.0282938	1	184	1	2	1	28	8	24
11447.52031	11.9664729	1	185	1	2	1	13	8	25
11459.5682	11.9995013	1	186	1	2	1	29	8	26
11471.64991	12.0488573	1	187	1	2	1	14	8	27
11483.78218	12.0152203	1	188	1	2	1	30	8	28
11495.87926	11.9760863	1	189	1	2	1	15	8	29
11507.93638	12.0792589	1	190	1	2	1	31	8	30
11520.09278	12.0469992	1	191	1	2	1	16	8	31
11532.21681	12.0482139	1	192	1	2	1	32	8	32
11544.34987	11.8217817	1	193	1	3	5	33	9	1
11556.2551	11.8038414	1	194	1	3	5	33	9	2
11568.13637	11.9499886	1	195	1	3	5	33	9	3
11580.16988	11.9382709	1	196	1	3	5	33	9	4
11592.19121	11.8520108	1	197	1	3	5	33	9	5
11604.12182	11.8436712	1	198	1	3	5	33	9	6
11616.04955	11.9443937	1	199	1	3	5	33	9	7
11628.07758	11.9439283	1	200	1	3	5	33	9	8
11640.10073	11.931264	1	201	1	3	5	33	9	9
11652.11536	11.7500456	1	202	1	3	5	33	9	10
11663.94673	11.9410344	1	203	1	3	5	33	9	11
11675.97154	11.9619544	1	204	1	3	5	33	9	12
11688.01925	12.1103818	1	205	1	3	5	33	9	13
11700.20914	11.8440034	1	206	1	3	5	33	9	14
11712.13172	11.9403838	1	207	1	3	5	33	9	15
11724.15543	11.9238315	1	208	1	3	5	33	9	16
