onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
2248.636675	12.8783215	1	1	1	3	5	33	1	1
2261.602611	12.5734395	1	2	1	3	5	33	1	2
2274.266087	12.6198727	1	3	1	3	5	33	1	3
2286.967371	12.8665571	1	4	1	3	5	33	1	4
2299.92366	12.5796489	1	5	1	3	5	33	1	5
2312.586939	12.651846	1	6	1	3	5	33	1	6
2325.321391	13.1728528	1	7	1	3	5	33	1	7
2338.616769	12.4861531	1	8	1	3	5	33	1	8
2351.184007	12.3176256	1	9	1	3	5	33	1	9
2363.58385	12.5393098	1	10	1	3	5	33	1	10
2376.206392	12.7288599	1	11	1	3	5	33	1	11
2389.016347	12.646433	1	12	1	3	5	33	1	12
2401.752703	12.5477893	1	13	1	3	5	33	1	13
2414.424787	12.366733	1	14	1	3	5	33	1	14
2426.882899	12.2916921	1	15	1	3	5	33	1	15
2439.256855	12.7875044	1	16	1	3	5	33	1	16
2452.196092	12.6638195	1	17	1	1	2	1	2	1
2464.954695	12.5008931	1	18	1	1	2	17	2	2
2477.569886	12.7296596	1	19	1	1	2	2	2	3
2490.39206	12.8012057	1	20	1	1	2	18	2	4
2503.280911	12.5337237	1	21	1	1	2	3	2	5
2515.902631	12.5145062	1	22	1	1	2	19	2	6
2528.498011	12.545621	1	23	1	1	2	4	2	7
2541.135138	12.3700223	1	24	1	1	2	20	2	8
2553.588236	12.5033607	1	25	1	1	2	5	2	9
2566.180132	12.2569245	1	26	1	1	2	21	2	10
2578.514814	12.1568668	1	27	1	1	2	6	2	11
2590.755478	12.2827159	1	28	1	1	2	22	2	12
2603.143048	12.1851652	1	29	1	1	2	7	2	13
2615.410955	12.2062246	1	30	1	1	2	23	2	14
2627.704299	12.2131601	1	31	1	1	2	8	2	15
2640.002456	12.1288183	1	32	1	1	2	24	2	16
2652.216973	12.1507488	1	33	1	1	2	9	2	17
2664.445906	12.2596499	1	34	1	1	2	25	2	18
2676.786466	12.2450781	1	35	1	1	2	10	2	19
2689.111913	12.2128442	1	36	1	1	2	26	2	20
2701.409975	12.4044731	1	37	1	1	2	11	2	21
2713.900564	12.3117595	1	38	1	1	2	27	2	22
2726.300228	12.6120417	1	39	1	1	2	12	2	23
2739.001026	12.1759254	1	40	1	1	2	28	2	24
2751.259709	12.4937852	1	41	1	1	2	13	2	25
2763.831957	12.4417039	1	42	1	1	2	29	2	26
2776.356229	12.3480925	1	43	1	1	2	14	2	27
2788.799396	12.4627503	1	44	1	1	2	30	2	28
2801.344102	12.6023531	1	45	1	1	2	15	2	29
2814.045055	12.4691535	1	46	1	1	2	31	2	30
2826.598241	12.4269386	1	47	1	1	2	16	2	31
