onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
19180.90215	1.1912637	1	1	1	3	5	33	1	1
19182.10156	1.1912432	1	2	1	3	5	33	1	2
19183.30104	1.1916251	1	3	1	3	5	33	1	3
19184.50088	1.1915678	1	4	1	3	5	33	1	4
19185.7013	1.1915144	1	5	1	3	5	33	1	5
19186.90061	1.1914342	1	6	1	3	5	33	1	6
19188.10073	1.191161	1	7	1	3	5	33	1	7
19189.30017	1.1915133	1	8	1	3	5	33	1	8
19190.49994	1.1915496	1	9	1	3	5	33	1	9
19191.69976	1.1918367	1	10	1	3	5	33	1	10
19192.89962	1.1915037	1	11	1	3	5	33	1	11
19194.09943	1.1915566	1	12	1	3	5	33	1	12
19195.29925	1.1915694	1	13	1	3	5	33	1	13
19196.49908	1.1915829	1	14	1	3	5	33	1	14
19197.69892	1.1915466	1	15	1	3	5	33	1	15
19198.89873	1.1915763	1	16	1	3	5	33	1	16
19200.11577	1.1909665	1	17	1	1	3	1	2	1
19201.31501	1.1915896	1	18	1	1	3	17	2	2
19202.51488	1.1915364	1	19	1	1	3	2	2	3
19203.71469	1.1916981	1	20	1	1	3	18	2	4
19204.9145	1.1916223	1	21	1	1	3	3	2	5
19206.11443	1.1915106	1	22	1	1	3	19	2	6
19207.31421	1.1915523	1	23	1	1	3	4	2	7
19208.51402	1.191656	1	24	1	1	3	20	2	8
19209.71395	1.1917839	1	25	1	1	3	5	2	9
19210.91398	1.1912415	1	26	1	1	3	21	2	10
19212.11352	1.1915514	1	27	1	1	3	6	2	11
19213.31334	1.1915697	1	28	1	1	3	22	2	12
19214.51317	1.1915779	1	29	1	1	3	7	2	13
19215.71302	1.1915372	1	30	1	1	3	23	2	14
19216.91284	1.1915488	1	31	1	1	3	8	2	15
19218.11268	1.1915123	1	32	1	1	3	24	2	16
19219.31247	1.1920094	1	33	1	1	3	9	2	17
19220.51274	1.1911383	1	34	1	1	3	25	2	18
19221.71262	1.1910861	1	35	1	1	3	10	2	19
19222.91197	1.1915621	1	36	1	1	3	26	2	20
19224.11179	1.1915727	1	37	1	1	3	11	2	21
19225.31165	1.191573	1	38	1	1	3	27	2	22
19226.5115	1.1915208	1	39	1	1	3	12	2	23
19227.71129	1.1915347	1	40	1	1	3	28	2	24
19228.91109	1.1915655	1	41	1	1	3	13	2	25
