onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
86029.40282	1.2092399	3	1	1	3	5	33	1	1
86030.61902	1.1940398	3	2	1	3	5	33	1	2
86031.8199	1.193486	3	3	1	3	5	33	1	3
86033.02032	1.1934618	3	4	1	3	5	33	1	4
86034.22253	1.1924049	3	5	1	3	5	33	1	5
86035.4208	1.1934446	3	6	1	3	5	33	1	6
86036.62094	1.1936302	3	7	1	3	5	33	1	7
86037.82137	1.1931267	3	8	1	3	5	33	1	8
86039.02177	1.1937565	3	9	1	3	5	33	1	9
86040.22246	1.1932762	3	10	1	3	5	33	1	10
86041.42259	1.1934455	3	11	1	3	5	33	1	11
86042.62301	1.19334	3	12	1	3	5	33	1	12
86043.82339	1.193326	3	13	1	3	5	33	1	13
86045.02389	1.1931165	3	14	1	3	5	33	1	14
86046.22423	1.1931103	3	15	1	3	5	33	1	15
86047.4246	1.1935607	3	16	1	3	5	33	1	16
86048.64257	1.1922847	3	17	1	1	4	1	2	1
86049.84212	1.1937427	3	18	1	1	4	17	2	2
86051.0429	1.1930732	3	19	1	1	4	2	2	3
86052.2433	1.1932775	3	20	1	1	4	18	2	4
86053.44369	1.1933285	3	21	1	1	4	3	2	5
86054.64395	1.1933712	3	22	1	1	4	19	2	6
86055.84462	1.1933948	3	23	1	1	4	4	2	7
86057.04499	1.1933437	3	24	1	1	4	20	2	8
86058.24526	1.1935771	3	25	1	1	4	5	2	9
86059.44571	1.1930244	3	26	1	1	4	21	2	10
86060.6461	1.1933406	3	27	1	1	4	6	2	11
86061.84622	1.1934381	3	28	1	1	4	22	2	12
86063.04663	1.1932441	3	29	1	1	4	7	2	13
86064.24704	1.1934806	3	30	1	1	4	23	2	14
86065.44745	1.1933346	3	31	1	1	4	8	2	15
86066.64783	1.1936648	3	32	1	1	4	24	2	16
86067.84833	1.1933722	3	33	1	1	4	9	2	17
86069.04869	1.1936895	3	34	1	1	4	25	2	18
86070.24909	1.1935551	3	35	1	1	4	10	2	19
86071.4495	1.1939445	3	36	1	1	4	26	2	20
86072.65037	1.1933406	3	37	1	1	4	11	2	21
86073.85071	1.1931915	3	38	1	1	4	27	2	22
86075.05115	1.1935742	3	39	1	1	4	12	2	23
86076.25162	1.1933333	3	40	1	1	4	28	2	24
86077.45196	1.1932019	3	41	1	1	4	13	2	25
86078.652	1.2018181	3	42	1	1	4	29	2	26
86079.86071	1.1933662	3	43	1	1	4	14	2	27
86081.06111	1.1932402	3	44	1	1	4	30	2	28
86082.26152	1.19354	3	45	1	1	4	15	2	29
86083.462	1.1932636	3	46	1	1	4	31	2	30
86084.66234	1.193709	3	47	1	1	4	16	2	31
86085.86318	1.1935647	3	48	1	1	4	32	2	32
86087.07316	1.1922898	3	49	1	3	5	33	3	1
