onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
4712.655068	1.1907752	2	1	1	3	5	33	1	1
4713.854085	1.191613	2	2	1	3	5	33	1	2
4715.053966	1.1915475	2	3	1	3	5	33	1	3
4716.253751	1.1915822	2	4	1	3	5	33	1	4
4717.454199	1.1915125	2	5	1	3	5	33	1	5
4718.653503	1.1914544	2	6	1	3	5	33	1	6
4719.853171	1.1916101	2	7	1	3	5	33	1	7
4721.053124	1.1914575	2	8	1	3	5	33	1	8
4722.252819	1.1915556	2	9	1	3	5	33	1	9
4723.452632	1.1915481	2	10	1	3	5	33	1	10
4724.65282	1.1911884	2	11	1	3	5	33	1	11
4725.852269	1.1916006	2	12	1	3	5	33	1	12
4727.05214	1.1915503	2	13	1	3	5	33	1	13
4728.251955	1.1915945	2	14	1	3	5	33	1	14
4729.451798	1.191549	2	15	1	3	5	33	1	15
4730.651607	1.1915467	2	16	1	3	5	33	1	16
4731.868591	1.1910194	2	17	1	2	4	1	2	1
4733.067934	1.1915366	2	18	1	2	4	17	2	2
4734.26778	1.1914856	2	19	1	2	4	2	2	3
4735.467594	1.1915356	2	20	1	2	4	18	2	4
4736.667397	1.1914768	2	21	1	2	4	3	2	5
4737.867209	1.1915233	2	22	1	2	4	19	2	6
4739.067064	1.1915935	2	23	1	2	4	4	2	7
4740.266918	1.1918715	2	24	1	2	4	20	2	8
4741.467107	1.1910726	2	25	1	2	4	5	2	9
4742.666505	1.1915796	2	26	1	2	4	21	2	10
4743.866378	1.1914797	2	27	1	2	4	6	2	11
4745.066161	1.1915692	2	28	1	2	4	22	2	12
4746.266055	1.1914816	2	29	1	2	4	7	2	13
4747.46585	1.19152	2	30	1	2	4	23	2	14
4748.665691	1.1914898	2	31	1	2	4	8	2	15
4749.865489	1.1915112	2	32	1	2	4	24	2	16
4751.065332	1.1918118	2	33	1	2	4	9	2	17
4752.265447	1.1912356	2	34	1	2	4	25	2	18
4753.465007	1.191516	2	35	1	2	4	10	2	19
4754.664831	1.1915407	2	36	1	2	4	26	2	20
4755.864688	1.1915074	2	37	1	2	4	11	2	21
4757.064505	1.1914883	2	38	1	2	4	27	2	22
4758.264716	1.1911555	2	39	1	2	4	12	2	23
4759.464138	1.1914973	2	40	1	2	4	28	2	24
4760.663964	1.1915883	2	41	1	2	4	13	2	25
4761.863825	1.1914803	2	42	1	2	4	29	2	26
4763.063634	1.191514	2	43	1	2	4	14	2	27
4764.263479	1.191506	2	44	1	2	4	30	2	28
4765.463313	1.1914746	2	45	1	2	4	15	2	29
4766.66312	1.1915018	2	46	1	2	4	31	2	30
4767.862933	1.1915271	2	47	1	2	4	16	2	31
4769.062791	1.1914845	2	48	1	2	4	32	2	32
4770.26283	1.1913193	2	49	1	3	5	33	3	1
4771.462409	1.1915492	2	50	1	3	5	33	3	2
4772.663093	1.1907035	2	51	1	3	5	33	3	3
4773.862066	1.1915554	2	52	1	3	5	33	3	4
4775.062163	1.1912691	2	53	1	3	5	33	3	5
4776.261696	1.1916043	2	54	1	3	5	33	3	6
4777.461543	1.191586	2	55	1	3	5	33	3	7
4778.661371	1.1915873	2	56	1	3	5	33	3	8
4779.86122	1.1915731	2	57	1	3	5	33	3	9
4781.061052	1.1915871	2	58	1	3	5	33	3	10
4782.260882	1.1915715	2	59	1	3	5	33	3	11
4783.460707	1.1915859	2	60	1	3	5	33	3	12
4784.660556	1.1921776	2	61	1	3	5	33	3	13
4785.860803	1.1911259	2	62	1	3	5	33	3	14
4787.060194	1.19154	2	63	1	3	5	33	3	15
4788.26003	1.1915525	2	64	1	3	5	33	3	16
4789.459872	1.1918363	2	65	1	2	1	1	4	1
4790.659998	1.1912174	2	66	1	2	1	17	4	2
4791.859479	1.1915066	2	67	1	2	1	2	4	3
4793.059313	1.1915029	2	68	1	2	1	18	4	4
4794.259144	1.1915316	2	69	1	2	1	3	4	5
4795.458973	1.1915191	2	70	1	2	1	19	4	6
4796.658802	1.1915559	2	71	1	2	1	4	4	7
4797.858628	1.1914895	2	72	1	2	1	20	4	8
4799.058434	1.1915388	2	73	1	2	1	5	4	9
4800.258299	1.1914802	2	74	1	2	1	21	4	10
4801.4581	1.1919665	2	75	1	2	1	6	4	11
4802.65818	1.1912825	2	76	1	2	1	22	4	12
4803.857789	1.1915393	2	77	1	2	1	7	4	13
4805.057615	1.191542	2	78	1	2	1	23	4	14
4806.25745	1.1915094	2	79	1	2	1	8	4	15
4807.457292	1.191482	2	80	1	2	1	24	4	16
4808.657105	1.1915094	2	81	1	2	1	9	4	17
4809.856938	1.1914899	2	82	1	2	1	25	4	18
4811.056766	1.1915036	2	83	1	2	1	10	4	19
4812.256587	1.1919096	2	84	1	2	1	26	4	20
4813.456807	1.1910832	2	85	1	2	1	11	4	21
4814.656221	1.1915423	2	86	1	2	1	27	4	22
4815.856093	1.1914852	2	87	1	2	1	12	4	23
4817.055907	1.1915239	2	88	1	2	1	28	4	24
4818.255739	1.1915101	2	89	1	2	1	13	4	25
4819.455583	1.191545	2	90	1	2	1	29	4	26
4820.655397	1.1915414	2	91	1	2	1	14	4	27
