onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
1580214545	1.181464911	1	1	1	3	5	3	1	1
1580214546	1.183122158	1	2	1	1	2	1	2	1
1580214548	1.18231988	1	3	1	1	2	2	2	2
1580214549	1.182305098	1	4	1	3	5	3	3	1
1580214550	1.182241917	1	5	1	1	1	1	4	1
1580214551	1.182335138	1	6	1	1	1	2	4	2
1580214552	1.18272686	1	7	1	3	5	3	5	1
1580214554	1.182336092	1	8	1	1	3	1	6	1
1580214555	1.182940006	1	9	1	1	3	2	6	2
1580214556	1.182312965	1	10	1	3	5	3	7	1
1580214557	1.182305098	1	11	1	1	4	1	8	1
1580214558	1.182282209	1	12	1	1	4	2	8	2
1580214560	1.182276964	1	13	1	3	5	3	9	1
1580214561	1.182291031	1	14	1	2	2	1	10	1
1580214562	1.182332993	1	15	1	2	2	2	10	2
1580214563	1.182713032	1	16	1	2	1	1	11	1
1580214564	1.182337046	1	17	1	2	1	2	11	2
1580214566	1.1823349	1	18	1	2	3	1	12	1
1580214567	1.182317019	1	19	1	2	3	2	12	2
1580214568	1.182289124	1	20	1	2	4	1	13	1
1580214569	1.182353973	1	21	1	2	4	2	13	2
1580214570	1.182343006	1	22	1	3	5	3	14	1
1580214572	1.182963133	1	23	1	3	5	3	15	1
1580214573	1.182311058	1	24	1	1	2	1	16	1
1580214574	1.182329893	1	25	1	1	2	2	16	2
1580214575	1.182283878	1	26	1	3	5	3	17	1
1580214576	1.182298899	1	27	1	1	1	1	18	1
1580214578	1.182318926	1	28	1	1	1	2	18	2
1580214579	1.182295799	1	29	1	3	5	3	19	1
1580214580	1.182399988	1	30	1	1	3	1	20	1
1580214581	1.182323933	1	31	1	1	3	2	20	2
1580214582	1.182923079	1	32	1	3	5	3	21	1
1580214584	1.18224597	1	33	1	1	4	1	22	1
1580214585	1.182321072	1	34	1	1	4	2	22	2
1580214586	1.182341814	1	35	1	3	5	3	23	1
1580214587	1.182338953	1	36	1	2	2	1	24	1
1580214588	1.182311058	1	37	1	2	2	2	24	2
1580214590	1.182323217	1	38	1	2	1	1	25	1
1580214591	1.182382107	1	39	1	2	1	2	25	2
1580214592	1.182332039	1	40	1	2	3	1	26	1
1580214593	1.182245016	1	41	1	2	3	2	26	2
1580214594	1.18226099	1	42	1	2	4	1	27	1
1580214596	1.182307959	1	43	1	2	4	2	27	2
1580214597	1.182287931	1	44	1	3	5	3	28	1
